zip,city,county,payout,population
85006,Phoenix,Maricopa,86.63,4121103
85021,Phoenix,Maricopa,86.63,4121103
85051,Phoenix,Maricopa,86.63,4121103
85255,Scottsdale,Maricopa,86.63,243821
85326,Buckeye,Maricopa,86.63,104923
85340,Litchfield Park,Maricopa,86.63,6916
85345,Peoria,Maricopa,86.63,196906
85003,Phoenix,Maricopa,84.7,4121103
85019,Phoenix,Maricopa,84.7,4121103
85338,Goodyear,Maricopa,83.74,107645
85015,Phoenix,Maricopa,82.78,4121103
85282,Tempe,Maricopa,82.78,188065
85044,Phoenix,Maricopa,78.75,4121103
85073,Phoenix,Maricopa,78.75,4121103
85381,Peoria,Maricopa,78.75,196906
85001,Phoenix,Maricopa,77.49,4121103
85016,Phoenix,Maricopa,77.49,4121103
85037,Phoenix,Maricopa,77.49,4121103
85041,Phoenix,Maricopa,77.49,4121103
85128,Coolidge,Pinal,77.49,16636
85224,Chandler,Maricopa,77.49,280136
85248,Chandler,Maricopa,77.49,280136
85268,Fountain Hills,Maricopa,77.49,23789
85209,Mesa,Maricopa,77.17,511764
85383,Peoria,Maricopa,75.77,196906
85017,Phoenix,Maricopa,75.6,4121103
85250,Scottsdale,Maricopa,75.25,243821
85253,Paradise Valley,Maricopa,75.25,12611
85286,Chandler,Maricopa,75.25,280136
85138,Maricopa,Pinal,74.05,72459
85225,Chandler,Maricopa,74.05,280136
85303,Glendale,Maricopa,73.75,252833
85374,Surprise,Maricopa,73.75,154948
85210,Mesa,Maricopa,72.24,511764
85004,Phoenix,Maricopa,70.88,4121103
85008,Phoenix,Maricopa,70.88,4121103
85024,Phoenix,Maricopa,70.88,4121103
85029,Phoenix,Maricopa,70.88,4121103
85208,Mesa,Maricopa,70.88,511764
85249,Chandler,Maricopa,70.88,280136
85323,Avondale,Maricopa,70.88,92477
85339,Laveen,Maricopa,70.88,836
85704,Tucson,Pima,70.88,890860
85705,Tucson,Pima,70.88,890860
85708,Tucson,Pima,70.88,890860
85254,Scottsdale,Maricopa,69.3,243821
85745,Tucson,Pima,68.51,890860
85042,Phoenix,Maricopa,67.72,4121103
85212,Mesa,Maricopa,67.72,511764
85258,Scottsdale,Maricopa,67.72,243821
85288,Tempe,Maricopa,67.72,188065
85295,Gilbert,Maricopa,67.72,280262
85701,Tucson,Pima,67.72,890860
85748,Tucson,Pima,67.72,890860
85629,Sahuarita,Pima,65.47,35862
85706,Tucson,Pima,64.89,890860
85710,Tucson,Pima,64.89,890860
85711,Tucson,Pima,64.89,890860
85713,Tucson,Pima,64.89,890860
85719,Tucson,Pima,64.89,890860
85735,Tucson,Pima,64.89,890860
85737,Tucson,Pima,64.89,890860
85739,Tucson,Pima,64.89,890860
85741,Tucson,Pima,64.89,890860
85746,Tucson,Pima,64.89,890860
85750,Tucson,Pima,64.89,890860
85120,Apache Junction,Pinal,64.58,41058
85122,Casa Grande,Pinal,64.58,60905
85143,San Tan Valley,Pinal,64.58,109189
85715,Tucson,Pima,63.45,890860
85251,Scottsdale,Maricopa,63.0,243821
85306,Glendale,Maricopa,63.0,252833
85641,Vail,Pima,62.73,16315
85756,Tucson,Pima,62.73,890860
85716,Tucson,Pima,62.01,890860
85722,Tucson,Pima,62.01,890860
85755,Tucson,Pima,62.01,890860
85707,Tucson,Pima,61.88,890860
85709,Tucson,Pima,61.88,890860
85712,Tucson,Pima,61.88,890860
85714,Tucson,Pima,61.88,890860
85718,Tucson,Pima,61.88,890860
