niche,sub_service,specific_service,calls,paid_pct,booked_pct,urgent_pct
pest control,rodents,mice / rat control,109,59,16,20
pest control,rodents,rodent droppings cleanup,21,71,29,29
pest control,rodents,mice in attic / walls,20,40,0,15
pest control,rodents,rodent exclusion / proofing,19,32,16,32
pest control,rodents,dead rodent removal,12,50,25,50
pest control,rodents,rodent in vehicle,10,90,0,10
pest control,rodents,mice and ant control,9,67,0,0
pest control,rodents,dead animal removal,6,0,0,50
pest control,rodents,rodent and wildlife control,5,100,0,0
pest control,rodents,scorpion exclusion,3,0,0,0
pest control,rodents,rodent abatement survey,3,0,0,0
pest control,rodents,humane mice removal,3,100,0,0
pest control,rodents,snake and rodent control,3,0,0,0
pest control,rodents,mice extermination,3,0,100,100
pest control,rodents,yellow jackets and mice,3,100,0,0
pest control,rodents,mice/rat control (recurring),3,100,0,0
pest control,rodents,rodent control (garage),3,67,0,0
pest control,rodents,wildlife exclusion inspection,2,0,0,0
pest control,rodents,"rodent control (mice/rats, duplex)",2,100,100,100
pest control,rodents,rodent/field rat control,2,100,0,0
pest control,rodents,rodent damage cleanup / sanitation,2,100,0,0
pest control,rodents,bugs & mouse (commercial store),2,0,0,0
pest control,rodents,squirrel removal (in wall),1,0,0,0
pest control,stinging insects,wasp nest removal,84,61,17,26
pest control,stinging insects,wasp removal,26,54,19,15
pest control,stinging insects,bee / carpenter bee removal,25,48,12,56
pest control,stinging insects,hornet nest removal,22,55,9,55
pest control,stinging insects,bee removal,15,53,20,67
pest control,stinging insects,yellow jacket removal,13,69,0,0
pest control,stinging insects,hornet removal,4,0,0,0
pest control,stinging insects,honey bee removal,3,0,0,0
pest control,stinging insects,in-ground bee nest / stinging insects,3,67,0,0
pest control,stinging insects,bee swarm removal,2,0,0,100
pest control,stinging insects,ground wasp control,2,100,0,0
pest control,stinging insects,bee/wasp removal (follow-up on prior request),2,100,0,0
pest control,stinging insects,bee removal (attic),2,100,0,100
pest control,stinging insects,wasp control + unknown pest,2,0,0,0
pest control,stinging insects,yellowjacket control,2,100,0,0
pest control,stinging insects,wasp and spider control,1,0,0,0
pest control,general pest control,general pest / bug spray,136,56,23,32
pest control,general pest control,pest control,23,48,13,35
pest control,general pest control,honeybee removal,5,0,0,0
pest control,general pest control,preventive pest treatment,4,0,0,0
pest control,general pest control,insect control,3,100,0,0
pest control,general pest control,post-infestation sanitization cleanup,2,0,0,0
pest control,general pest control,bug extermination,1,0,0,0
pest control,general pest control,exterior pest control,1,0,0,0
pest control,ants,ant control,64,62,17,31
pest control,ants,carpenter ants,23,74,0,39
pest control,ants,sugar / little black ants,4,75,75,0
pest control,ants,scorpion and ant control,3,100,0,0
pest control,ants,roach and ant control,3,100,0,0
pest control,ants,ant extermination,3,100,0,0
pest control,ants,ant & wasp control,3,67,0,67
pest control,ants,ant and spider control,3,0,0,0
pest control,ants,ant and termite control,1,0,0,0
pest control,ants,ant control (inside and outside),1,100,0,0
pest control,occasional invaders,spider control,27,52,22,26
pest control,occasional invaders,beetle / clover mite control,11,36,0,0
pest control,occasional invaders,moth control,10,90,30,30
pest control,occasional invaders,fly / gnat control,8,12,0,0
pest control,occasional invaders,scorpion control,6,50,0,0
pest control,occasional invaders,fly control,6,0,0,0
pest control,occasional invaders,powderpost beetle treatment,5,0,0,0
pest control,occasional invaders,maggot removal,3,0,0,100
pest control,occasional invaders,flying insect control,3,0,0,0
pest control,occasional invaders,gecko / lizard control,2,0,0,0
pest control,occasional invaders,lizard removal,2,0,0,0
pest control,occasional invaders,silverfish / earwig control,2,0,0,0
pest control,occasional invaders,earwig control,2,0,0,0
pest control,occasional invaders,powder post beetle fumigation,2,0,0,0
pest control,occasional invaders,drain fly treatment,1,0,0,0
pest control,occasional invaders,gecko control,1,100,0,0
pest control,occasional invaders,fruit fly control,1,100,0,0
pest control,termites,termite control,40,35,12,15
pest control,termites,termite fumigation,5,40,40,0
pest control,termites,WDO / termite inspection report,2,0,0,0
pest control,termites,wdo inspection,2,0,0,0
pest control,termites,termite protection,2,0,0,0
pest control,termites,termite treatment (waiting on referral tech),2,0,0,0
pest control,termites,termite treatment (subterranean),2,100,0,0
pest control,termites,termite foundation pretreatment (new construction),2,100,0,0
pest control,termites,termite treatment (tree),2,0,0,0
pest control,termites,drywood termites,1,0,0,0
pest control,termites,dry wood termites,1,0,0,0
pest control,cockroaches,cockroach control,41,66,20,22
pest control,cockroaches,roach extermination,6,100,50,50
pest control,cockroaches,german cockroach control,6,50,50,0
pest control,cockroaches,cockroach infestation,1,0,0,0
pest control,cockroaches,roaches and spiders,1,0,0,0
pest control,inspection,pest identification / inspection,47,43,26,26
pest control,inspection,pest inspection,6,50,50,0
pest control,wildlife,wildlife removal,17,29,0,6
pest control,wildlife,stray animal removal,16,56,0,19
pest control,wildlife,snake removal,6,0,0,50
pest control,wildlife,raccoon / opossum / skunk removal,5,0,0,0
pest control,wildlife,bat removal,3,0,0,100
pest control,wildlife,bird / pigeon control,2,0,0,0
pest control,wildlife,animal removal,1,0,0,0
pest control,wildlife,skunk removal (trapped),1,0,0,0
pest control,wildlife,wildlife rescue (baby bunny in window well),1,0,0,0
pest control,wildlife,snake removal (rattlesnake),1,0,0,100
pest control,fleas & ticks,flea treatment,15,60,20,80
