keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washing machine not rinse and spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washer not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine will not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washer will not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine does not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
laundry machine not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not rotating,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
clothes washer not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine no spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
clothes washer will not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not spinning clothes,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine door not opening,20,74,749.53,2280.58,MOFU,commercial,GROWING,Jun,False,
hoover washing machine water not draining,10,8,0.0,0.0,MOFU,commercial,GROWING,Aug/Nov/May/Jun,False,
hisense washing machine not spinning,10,8,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,
washer door not locking,10,8,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
top load washing machine not draining,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Dec/Jan/Feb/May/Jun,False,
automatic washing machine drain problem,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Dec/Jan/Mar/Apr/May/Jun,False,
washer pump clogged,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Jan/Feb/Mar/Apr/Jun,False,
washing machine pump blocked,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Sep/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine not rotating,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Dec/Jan/Feb/Apr/Jun,False,
washing machine pipe leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Nov/Jun,False,
washer pipe leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Nov/Jun,False,
samsung washer leaking from door,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washing machine leaking from door,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washer leaks from door,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washing machine bottom,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Jan/Apr/May/Jun,False,
samsung washing machine door leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
washing machine spigot leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Apr/Jun,False,
washing machine water pipe leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Nov/Jun,False,
washing machine loud noise during spin,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Jan/Apr/Jun,False,
samsung washer door won t open,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Jan/Mar/Apr/May/Jun,False,
samsung washing machine door won t open,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Jan/Mar/Apr/May/Jun,False,
samsung washer door will not open,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Jan/Mar/Apr/May/Jun,False,
samsung washer door wont open,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Jan/Mar/Apr/May/Jun,False,
samsung washing machine door will not open,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Jan/Mar/Apr/May/Jun,True,voice
washing machine fabric softener dispenser not draining,10,13,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Dec/Jan/May/Jun,False,
