Campaign,ID,Location
Core Plumbing & Emergency Services,9047099,"Sharjah,United Arab Emirates"
Core Plumbing & Emergency Services,1000011,"Ajman,Ajman,United Arab Emirates"
Core Plumbing & Emergency Services,1000010,"Abu Dhabi,Abu Dhabi,United Arab Emirates"
Core Plumbing & Emergency Services,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
Core Plumbing & Emergency Services,9047097,"Fujairah,United Arab Emirates"
Core Plumbing & Emergency Services,9047098,"Ras Al Khaimah,United Arab Emirates"
Core Plumbing & Emergency Services,9047100,"Emirate of Umm Al Quwain,United Arab Emirates"
Core Plumbing & Emergency Services,9190712,"Kalba,Sharjah,United Arab Emirates"
Core Plumbing & Emergency Services,2586,Pakistan
Core Plumbing & Emergency Services,2356,India
Core Plumbing & Emergency Services,2608,Philippines
Core Plumbing & Emergency Services,2050,Bangladesh
Core Plumbing & Emergency Services,2360,Indonesia
Core Plumbing & Emergency Services,2818,Egypt
Core Plumbing & Emergency Services,2566,Nigeria
Core Plumbing & Emergency Services,2704,Vietnam
