Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Enhanced CPC,Final URL suffix,Campaign Status,Ad Group,Ad Group Type,Ad Group Status,Max CPC,Keyword,Criterion Type,ID,Location,Bid Modifier,Audience,Flexible Reach,Type,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status,Comment
Core Plumbing & Emergency Services,Search,Google search,1000,Daily,Manual CPC,Disabled,kw={keyword},Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,Standard,Enabled,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,2539,emergency plumber near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,1887,pipe installation,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,2563,plumbing services near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,2563,near me plumber service,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,2178,plumbing services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,2388,emergency plumbing services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,2709,emergency plumber,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Plumbing & Emergency Services,,,,,,,,,General & Emergency Plumbing,,,1887,plumbing line,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
