keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
website design company dubai,1300,56,1079.17,2911.12,BOFU,transactional,DECLINING,Sep,False,local
web designing company dubai,1300,56,1079.17,2911.12,BOFU,transactional,DECLINING,Sep,False,local
web design agency in dubai,1300,56,1152.63,3243.67,MOFU,commercial,DECLINING,Sep,False,local
website design agency dubai,1300,56,1152.63,3243.67,MOFU,commercial,DECLINING,Sep,False,local
website development company dubai,720,57,1330.26,4335.87,BOFU,transactional,DECLINING,Sep,False,local
web development company dubai,720,57,1330.26,4335.87,BOFU,transactional,DECLINING,Sep,False,local
web development agency in dubai,720,57,1330.26,4335.87,MOFU,commercial,DECLINING,Sep,False,local
best web development company in dubai,260,57,1240.24,3530.68,BOFU,transactional,DECLINING,Jul/Oct/Jan/May,False,local
google ads agency dubai,210,50,818.11,3229.7,MOFU,commercial,DECLINING,Sep,False,local
ecommerce development company in dubai,90,4,0.0,0.0,BOFU,transactional,STABLE,Nov/Jan/Feb/Mar,False,local
google adwords company dubai,70,48,5126.08,11990.42,BOFU,transactional,DECLINING,Sep,False,local
google adwords in dubai,70,48,5126.08,11990.42,MOFU,commercial,DECLINING,Sep,False,local
google ads dubai,70,59,1178.93,7842.93,MOFU,commercial,DECLINING,Sep,False,local
web agencies dubai,70,60,1027.19,2727.05,MOFU,commercial,DECLINING,Sep/Oct,False,local
ecommerce website development company in dubai,50,2,0.0,0.0,BOFU,transactional,GROWING,Dec,False,local
ecommerce web development company in dubai,30,51,2545.25,4509.22,BOFU,transactional,GROWING,Jun,False,local
google ads management services in dubai,10,0,0.0,0.0,BOFU,transactional,GROWING,Sep/Oct/Nov/Jan/Mar/Apr/Jun,False,local
google ads services in dubai,10,1,0.0,0.0,BOFU,transactional,SEASONAL,Jun,False,local
web design & development company dubai,10,0,0.0,0.0,BOFU,transactional,SEASONAL,Jul/Aug/Nov/Feb/Apr/May/Jun,False,local
best google ads agency in dubai,10,9,0.0,0.0,MOFU,commercial,STABLE,Dec,False,local
google ads management dubai,10,54,1287.14,3908.6,MOFU,commercial,STABLE,Sep/Dec/Jan/Mar/May,False,local
best website development companies in dubai,10,40,0.0,0.0,MOFU,commercial,GROWING,Sep/Dec/Feb/Mar/Apr/Jun,False,local
effective google ads services in dubai,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jul/Oct,False,local
google adwords services in dubai,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Oct,False,local
best ecommerce development company in dubai,10,37,0.0,0.0,BOFU,transactional,SEASONAL,Mar,False,local
