Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Enhanced CPC,Final URL suffix,Campaign Status,Ad Group,Ad Group Type,Ad Group Status,Max CPC,Keyword,Criterion Type,ID,Location,Bid Modifier,Audience,Flexible Reach,Type,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status,Comment
Website Build Services,Search,Google search,49170,Daily,Manual CPC,Disabled,kw={keyword},Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,Standard,Enabled,2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3560,business website design near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,943,best web design agencies near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,943,best web design agency near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,4056,affordable website designers,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,287,near web development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,1883,small business web design near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,243,best website development company near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3278,real estate website development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3278,real estate web development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3590,boca web agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3278,affordable web design agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2982,service business website design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2982,business web design services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2982,business website design services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,423,coffee shop web design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3278,business website development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,1285,website design and development company near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,professional web design agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,professional website design agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,681,electrical services website,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3278,site development companies,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,319,static website design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,319,static web page design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,319,static page design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,328,online website development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,5381,website builder for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,5381,website creator for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,5381,website maker for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,5381,small business web builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,6498,small business website designer near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,382,best it company website design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,3997,contractor website services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,1714,top web design agencies,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,1714,top website design agencies,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,1714,top rated web design agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,4799,small business website design near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,341,phoenix web design agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,956,website making company near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,1361,business website development services,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,712,best corporate web design,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,static website builder for contractors,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,hire website designer for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,website design quote for service business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,cost to build a business website,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,custom website for plumbers,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,website design company for electricians,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,fast loading website for small business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,secure website no wordpress plugins,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,2041,small business website design cost,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,seo,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,keyword research,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,backlink,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,google ads,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,ppc,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,adwords,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,campaign management,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,ad manager,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,admin,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,ads,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,advertising,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,adword,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,analysis,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,audience,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,bright,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,budget,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,canterbury,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,click,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,coast,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,competition,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,content,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,control,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,dental,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,developer,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,developers,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,directories,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Build Services,,,,,,,,,Static Website Builds For Service Businesses,,,,does,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
