Campaign,ID,Location
Core PPC Services - UAE,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
Core PPC Services - UAE,9252263,"Al Aweer,Dubai,United Arab Emirates"
Core PPC Services - UAE,9253449,"Al Dhaid,Sharjah,United Arab Emirates"
Core PPC Services - UAE,9212312,"Hatta,Dubai,United Arab Emirates"
Core PPC Services - UAE,9190712,"Kalba,Sharjah,United Arab Emirates"
Core PPC Services - UAE,9264040,"Masafi,Ras Al Khaimah,United Arab Emirates"
Core PPC Services - UAE,9047578,"Madinat Zayed,Abu Dhabi,United Arab Emirates"
Core PPC Services - UAE,9047579,"Al Ruwais Industrial City,Abu Dhabi,United Arab Emirates"
Core PPC Services - UAE,2586,Pakistan
Core PPC Services - UAE,2356,India
Core PPC Services - UAE,2050,Bangladesh
Core PPC Services - UAE,2608,Philippines
Core PPC Services - UAE,2818,Egypt
Core PPC Services - UAE,2360,Indonesia
