keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
lg washing machine not drying clothes,10,8,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Apr/May/Jun,False,
samsung dryer not turning on but has power,10,8,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Mar/May/Jun,False,
bosch washing machine not drying clothes,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Dec/May/Jun,False,
dryer not spinning,10,13,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Apr/May/Jun,False,
dryer does not spin,10,13,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Apr/May/Jun,False,
dryer not rotating,10,13,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Apr/May/Jun,False,
clothes dryer not spinning,10,13,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Apr/May/Jun,False,
dryer will not spin,10,13,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Apr/May/Jun,False,
spin dryer not spinning,10,13,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Apr/May/Jun,False,
samsung dryer not turning on,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Dec/Mar/Apr/May,False,
samsung dryer will not turn on,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Dec/Mar/Apr/May,False,
bosch dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Dec/Jun,False,
troubleshooting samsung dryer,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Feb/May/Jun,False,
defy tumble dryer not heating up,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Oct/Nov/Feb/Mar/Jun,False,
bosch dryer not heating reset,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Mar/Jun,False,
tumble dryer not heating up,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Jan/May/Jun,False,
bosch clothes dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Dec/Jun,False,
defy tumble dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Nov/Jun,False,
tumble dryer does not heat up,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Jan/May/Jun,False,
samsung dryer squeaking,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Feb/Apr/May/Jun,False,
samsung dryer squealing,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Feb/Apr/May/Jun,False,
samsung dryer not drying,10,13,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Mar/May/Jun,False,
samsung dryer does not dry,10,13,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Mar/May/Jun,False,
samsung dryer will not dry,10,13,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Mar/May/Jun,False,
samsung tumble dryer not drying,10,13,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Mar/May/Jun,False,
maytag electric dryer not heating,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
dryer not spinning and making noise,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
lg dryer not turning on,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
lg dryer does not turn on,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung dryer making loud screeching noise,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
maytag dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung front load dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
tumble dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec/Jun,False,
dyson not blowing hot air,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
kenmore dryer getting too hot,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
maytag clothes dryer not heating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
maytag dryer does not heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
maytag dryer will not heat,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
no heat tumble dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec/Jun,False,
tumble dryer problems,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung dryer not rotating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung dryer won t stop spinning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
washer is not spinning clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
samsung dryer wont stop spinning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
washer not drying clothes,10,78,1027.65,1890.89,MOFU,commercial,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
dryer making whirring noise,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung dryer sound,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
fix a dryer heating element,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Apr,False,
squeaky dryer fix,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
squeaky dryer repair,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
dryer noise repair,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jul,False,
fix noisy dryer,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jul,False,
squeaky clothes dryer repair,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
hair dryer overheating fix,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Apr/May,False,
siemens dryer not heating,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,May/Jun,False,
samsung dryer noise,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Dec/Apr/Jun,False,
samsung dryer is noisy,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Dec/Apr/Jun,False,
lg dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Mar/Apr/May,False,
electrolux dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Dec/Jan/Mar,False,
dryer problems,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Dec/Apr,False,
maytag bravos dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Jan/Apr,False,
beko dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Mar,False,
candy washer dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Jan,False,
beko tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Mar,False,
candy dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Apr/May,False,
clothes dryer problems,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Dec/Apr,False,
heater for dryer,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Mar/May,False,
lg clothes dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Mar/Apr/May,False,
miele dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Feb,False,
miele tumble dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Feb,False,
samsung heat pump dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Apr/May,False,
samsung heat pump dryer not heating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/May,False,
samsung heatpump dryer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Apr/May,False,
dryer stopped spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Feb/Apr,False,
clothes dryer stopped spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Feb/Apr,False,
dryer quit spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/Feb/Apr,False,
dryer spinning,10,30,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Oct/Dec/Jan/Mar/Apr/May/Jun,False,
samsung washer dryer not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Feb,False,
washer not drying,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/Apr/May,False,
washing machine dryer not rotating,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Jan/Feb/Apr/May,False,
washing machine spin dryer not working,10,30,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Jan/Mar/Apr/May/Jun,False,
dyson hair dryer not turning on,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Mar/May,False,
dryer not turning on whirlpool,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan/Apr,False,
samsung dryer making noise,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Mar,False,
noisy dryer,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/May,False,
clothes dryer noise,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/May,False,
clothes dryer vibration,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/May,False,
dryer vibration,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/May,False,
