keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
emergency number dubai,2400,45,316.78,2984.56,BOFU,transactional,STABLE,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar,False,"local,urgent"
emergency plumber dubai,390,84,1512.0,4396.2,BOFU,transactional,SEASONAL,Nov/Jan,False,"local,urgent"
dubai sockets,260,100,134.46,760.21,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Dec/Jan/Feb,False,local
emergency ac repair dubai,170,74,1428.61,3780.05,BOFU,transactional,SEASONAL,May/Jun/Jul,False,"local,urgent"
water heater repair dubai,170,74,1253.0,3494.7,BOFU,transactional,SEASONAL,Sep,False,local
water heater replacement,170,66,857.25,3660.5,BOFU,transactional,SEASONAL,Jan/Apr,False,
water heater price in uae,170,100,27.53,478.81,BOFU,transactional,SEASONAL,Dec/Jan,False,
tv mounting,170,99,227.13,916.34,MOFU,commercial,STABLE,Aug/Sep/Oct/Nov/Dec/Jan/Mar/May/Jun/Jul,False,
tv wall mount stand,170,100,90.12,361.81,MOFU,commercial,STABLE,Aug/Sep/Oct/Dec/Jan/Mar/May/Jun/Jul,False,
water pump suppliers in uae,140,50,287.14,969.36,MOFU,commercial,SEASONAL,Jul,False,
tv installation dubai,140,84,532.99,1197.64,BOFU,transactional,STABLE,Oct/Dec/Mar,False,local
water pump repair near me,90,72,1430.1,4536.0,BOFU,transactional,GROWING,Apr/Jul,False,local
water heater replacement dubai,90,98,1522.63,4536.0,BOFU,transactional,SEASONAL,Dec/Mar,False,local
water pump repair guru,90,2,0.0,0.0,BOFU,transactional,DECLINING,Sep/Oct,False,
emergency electrician dubai,70,69,795.09,2520.39,BOFU,transactional,SEASONAL,Dec/Mar,False,"local,urgent"
tv installation near me,70,84,553.44,1037.47,BOFU,transactional,STABLE,Nov/Feb/Mar,False,local
tv fitters near me,70,84,553.44,1037.47,BOFU,commercial,STABLE,Nov/Feb/Mar,False,local
dubai repair services,50,60,833.04,1966.79,BOFU,transactional,SEASONAL,Jan,False,local
water heater leakage,50,74,919.75,3493.65,MOFU,commercial,STABLE,Sep/Nov/Jan/Feb,False,
water heater price in dubai,50,90,23.12,874.65,BOFU,transactional,SEASONAL,Dec/Jan,False,local
mounting brackets for tvs,50,100,47.1,680.4,MOFU,commercial,STABLE,Jun,False,
water heater maintenance,40,99,2044.41,3524.66,BOFU,transactional,SEASONAL,Sep,False,
television installation,30,4,0.0,0.0,BOFU,transactional,DECLINING,Mar,False,
dish tv fixing dubai,20,2,0.0,0.0,MOFU,commercial,GROWING,Jun,False,local
emergency water heater replacement,20,56,1733.28,4158.06,BOFU,transactional,GROWING,Nov/Jul,False,urgent
emergency hot water replacement,20,56,1733.28,4158.06,BOFU,transactional,GROWING,Nov/Jul,False,urgent
emergency hot water tank replacement,20,56,1733.28,4158.06,BOFU,transactional,GROWING,Nov/Jul,False,urgent
emergency water heater repair,20,6,0.0,0.0,BOFU,transactional,SEASONAL,Nov,False,urgent
emergency hot water repair,20,6,0.0,0.0,BOFU,transactional,SEASONAL,Nov,False,urgent
emergency hot water heater repair,20,6,0.0,0.0,BOFU,transactional,SEASONAL,Nov,False,urgent
chandelier cleaning dubai,20,70,858.13,3762.78,BOFU,transactional,GROWING,Sep/Feb/Mar/May/Jul,False,local
emergency water pump repair,20,72,1890.03,4536.12,BOFU,transactional,GROWING,Jul,False,urgent
tv wall mount installation near me,20,80,508.5,1119.65,BOFU,transactional,GROWING,Nov/Jan,False,local
leakage repair,20,74,999.16,3780.0,BOFU,transactional,GROWING,Nov/Jun,False,
bathroom water leaking,20,51,682.08,2599.16,MOFU,commercial,STABLE,Aug/Sep/Nov/Dec/Jan/Feb/Mar/Apr/Jul,False,
water leakage repair,20,82,874.69,3780.05,BOFU,transactional,GROWING,Jun/Jul,False,
water leak fix,20,82,874.69,3780.05,BOFU,transactional,GROWING,Jun/Jul,False,
tv mounting near me,20,80,389.87,971.88,BOFU,commercial,GROWING,Mar,False,local
mount tvs near me,20,80,389.87,971.88,BOFU,commercial,GROWING,Mar,False,local
television mounting near me,20,80,389.87,971.88,BOFU,commercial,GROWING,Mar,False,local
tv installation service near me,20,78,409.54,971.88,BOFU,transactional,SEASONAL,Nov,False,local
water leaking from pipe,20,57,833.04,3996.77,MOFU,commercial,SEASONAL,Sep,False,
water tank repair dubai,20,85,1033.21,3402.05,BOFU,transactional,SEASONAL,Aug,False,local
water pump replacement,20,85,378.01,4536.06,BOFU,transactional,SEASONAL,Nov,False,
chandelier installation dubai,20,99,833.04,4793.21,BOFU,transactional,SEASONAL,Dec,False,local
furniture assembly service dubai,20,60,0.0,0.0,BOFU,transactional,SEASONAL,Dec,False,local
tv wall mounting service,20,95,476.86,971.88,BOFU,transactional,SEASONAL,Sep/Oct,False,
tv mount wall service,20,95,476.86,971.88,BOFU,transactional,SEASONAL,Sep/Oct,False,
television wall mounting service,20,95,476.86,971.88,BOFU,transactional,SEASONAL,Sep/Oct,False,
tv wall mount movable,20,100,47.91,365.37,MOFU,commercial,GROWING,May/Jun,False,
roof leaks,20,85,658.0,3345.95,MOFU,commercial,SEASONAL,Dec/Mar,False,
