keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
seo for roofers,2400,52,2779.2,13895.99,MOFU,commercial,DECLINING,Sep,False,
seo roofing,2400,52,2779.2,13895.99,MOFU,commercial,DECLINING,Sep,False,
roofing seo company,1000,46,2026.04,13668.13,BOFU,transactional,DECLINING,Sep,False,
search engine optimization for roofing companies,1000,46,2026.04,13668.13,MOFU,commercial,DECLINING,Sep,False,
roofing seo services,720,43,2373.44,14569.44,BOFU,transactional,DECLINING,Sep,False,
local seo for roofing companies,260,45,2517.95,8490.45,MOFU,commercial,SEASONAL,Jan,False,local
roofing seo agency,260,48,3221.09,12675.92,MOFU,commercial,SEASONAL,Sep,False,
roofing contractor seo,260,44,2843.12,12506.39,BOFU,transactional,DECLINING,Sep,False,
seo for roofing contractors,260,44,2843.12,12506.39,MOFU,commercial,DECLINING,Sep,False,
roofer ppc,210,52,1968.31,8626.63,MOFU,commercial,DECLINING,Sep,False,
local seo for roofers,110,56,2312.29,16067.85,MOFU,commercial,GROWING,Oct/Dec/Jan,False,local
best roofing seo,110,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct,False,
roofing seo expert,110,0,0.0,0.0,BOFU,transactional,DECLINING,Sep,False,
roofing seo experts,110,0,0.0,0.0,MOFU,commercial,DECLINING,Sep,False,
best roofing seo companies,90,50,4958.74,18954.98,MOFU,commercial,SEASONAL,Oct,False,
roofers seo marketing,90,13,0.0,0.0,MOFU,commercial,SEASONAL,Oct,False,
roofing seo pros,90,0,0.0,0.0,MOFU,commercial,DECLINING,Sep,False,
seo services for roofing company,70,2,0.0,0.0,BOFU,transactional,DECLINING,Sep/Oct,False,
seo for roofing businesses,40,1,0.0,0.0,MOFU,commercial,DECLINING,Mar,False,
seo services for roofers,40,24,0.0,0.0,BOFU,transactional,DECLINING,Sep,False,
roofing search engine optimization,40,17,0.0,0.0,MOFU,commercial,DECLINING,Sep,False,
roofing seo pros digital marketing,20,3,0.0,0.0,MOFU,commercial,SEASONAL,Mar,False,
roofing local seo company,20,6,0.0,0.0,BOFU,transactional,DECLINING,Mar,False,local
roofing seo advertising company,20,0,0.0,0.0,BOFU,transactional,DECLINING,Mar,False,
gutter installation seo,10,0,0.0,0.0,BOFU,transactional,GROWING,Aug/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
roofing website seo,10,0,0.0,0.0,MOFU,commercial,DECLINING,Aug/Feb/Mar,False,
