Campaign,Ad Group,ID#Original,ID,Location#Original,Location,Reach,Location groups#Original,Location groups,Radius#Original,Radius,Unit#Original,Unit,Bid Modifier,Campaign Status,Ad Group Status,Status,Comment
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,1000013,,"Dubai,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9041083,,"Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9070456,,"Palm Islands,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9189230,,"Jabal Ali Second,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9189519,,"Dubai Sports City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9189585,,"Al Quoz Industrial Area 4,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9189674,,"Dubai Production City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9189772,,"Dubai Creek Harbour,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190056,,"Nadd Al Hamar,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190079,,"Dubai Investment Park - 2,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190096,,"Al Barsha 2,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190172,,"Al Sufouh 1,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190191,,"Jumeirah Park,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190340,,"Damac Hills,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190838,,"Dubai Investment Park First,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190853,,"International City Phase(2),Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9190877,,"Al Twar,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9191291,,"Ras Al Khor Industrial Area 3,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9191366,,"Al Warqa 3,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9191386,,"Al Safa,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9191435,,"Dubai Festival City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9191492,,"The Villa,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
خدمات السباكة الطارئة وتسليك المجاري - دبي,,,9191736,,"Jabal Ali Industrial Second,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
