keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
painting services dubai,2900,66,1169.83,2434.57,BOFU,transactional,DECLINING,Jul,False,local
villa painting services dubai,480,55,1033.87,2670.07,BOFU,transactional,GROWING,Jul/Nov/Mar/May/Jun,False,local
epoxy flooring dubai,480,73,312.08,973.79,MOFU,commercial,STABLE,Jul/Aug/Oct/Dec/Jan/Feb/Apr/May,False,local
wall painting services in dubai,480,60,1168.47,2651.14,BOFU,transactional,DECLINING,Jul/Aug/Sep,False,local
walls paint services dubai,480,60,1168.47,2651.14,BOFU,transactional,DECLINING,Jul/Aug/Sep,False,local
house painting services dubai,390,81,1287.24,2682.61,BOFU,transactional,DECLINING,Aug/Sep/Nov/Feb,False,local
home painting services in dubai,390,81,1287.24,2682.61,BOFU,transactional,DECLINING,Aug/Sep/Nov/Feb,False,local
wall painting dubai,320,86,984.13,2245.17,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/May/Jun,False,local
apartment painting services in dubai,320,71,1169.71,2428.94,BOFU,transactional,DECLINING,Jul/Aug,False,local
wallpaper installation dubai,260,68,403.94,1408.11,BOFU,transactional,SEASONAL,Mar,False,local
painter in dubai,260,80,1287.73,2221.2,MOFU,commercial,DECLINING,Jul,False,local
professional painting services in dubai,210,61,1391.13,2670.07,BOFU,transactional,DECLINING,Sep,False,local
painting company in dubai,210,89,964.63,2301.51,BOFU,transactional,DECLINING,Jul/Sep,False,local
painting services in dubai marina,170,48,1258.19,2670.11,BOFU,transactional,SEASONAL,Apr,False,local
wallpaper fixing in dubai,170,55,305.54,893.65,MOFU,commercial,DECLINING,Aug,False,local
best painting services in dubai,170,74,1168.38,2233.77,BOFU,transactional,DECLINING,Aug/Sep,False,local
villa painting dubai,140,53,973.12,2481.58,MOFU,commercial,SEASONAL,Jun,False,local
apartment painting dubai,140,79,1391.13,2670.07,MOFU,commercial,DECLINING,Jul/Oct,False,local
door painting dubai,90,64,456.75,1742.22,MOFU,commercial,GROWING,Jun,False,local
home painting dubai,90,63,630.99,2286.13,MOFU,commercial,DECLINING,Jul/Aug/Oct/Dec/Jan/Feb/Jun,False,local
epoxy flooring price in dubai,70,90,277.06,908.96,BOFU,transactional,SEASONAL,Jan,False,local
wallpaper installation services dubai,50,49,452.16,750.07,BOFU,transactional,GROWING,Dec/Jan/Mar/Apr/May,False,local
office painting services in dubai,40,69,1179.24,2670.22,BOFU,transactional,DECLINING,Sep,False,local
best painter in dubai,40,63,1530.84,2670.15,MOFU,commercial,DECLINING,Sep/Dec,False,local
1 bhk painting cost in dubai,30,84,591.26,1881.55,BOFU,transactional,SEASONAL,May/Jun,False,local
resin flooring dubai,30,93,482.46,1113.01,MOFU,commercial,GROWING,Jan,False,local
interior painting dubai,20,45,1170.29,2434.5,MOFU,commercial,GROWING,Jun,False,local
painting contracting company in dubai,20,47,1064.75,2025.47,BOFU,transactional,SEASONAL,Sep,False,local
cheap painter dubai,20,80,862.5,1708.08,BOFU,transactional,SEASONAL,Nov,False,local
epoxy floor paint dubai,20,60,0.0,0.0,MOFU,commercial,GROWING,Jan/Apr/May,False,local
epoxy floor dubai,20,87,380.76,1316.62,MOFU,commercial,SEASONAL,Dec,False,local
epoxy dubai,20,100,273.86,973.79,MOFU,commercial,SEASONAL,Apr,False,local
office painting dubai,20,55,1360.45,2670.15,MOFU,commercial,DECLINING,Sep,False,local
commercial painting services in dubai,10,5,0.0,0.0,BOFU,transactional,GROWING,Nov/Apr,False,local
epoxy resin flooring dubai,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
interior painting services in dubai,10,54,1007.62,2380.0,BOFU,transactional,SEASONAL,Jun,False,local
wallpaper fixing price in dubai,10,0,0.0,0.0,BOFU,transactional,SEASONAL,Jul/Aug/Oct/Nov/Dec/Jan/May,False,local
sky painting services dubai,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep/Oct,False,local
good painter in dubai,10,43,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Jan/Feb/Mar/May/Jun,False,local
epoxy coating dubai,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Nov/Dec/Jan/Feb/May/Jun,False,local
wall paint price in dubai,10,56,0.0,0.0,BOFU,transactional,GROWING,Jul/Sep/Oct/Nov/Dec/Feb/Apr/May/Jun,False,local
villa painters in dubai,10,30,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Jan/Mar/Apr/May/Jun,False,local
industrial flooring dubai,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Oct/Nov/Jan/Apr,False,local
wall painting company in dubai,10,60,0.0,0.0,BOFU,transactional,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,local
professional painters dubai,10,60,0.0,0.0,BOFU,transactional,GROWING,Apr,False,local
professional painting in dubai,10,60,0.0,0.0,BOFU,transactional,GROWING,May,False,local
decorative painting in dubai,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Nov,False,local
villa painting cost dubai,10,89,438.6,1527.81,BOFU,transactional,SEASONAL,Jul/Aug/Sep/Oct/Dec/Jan/Feb/Apr/May/Jun,False,local
