keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
lg washer motor replacement cost,10,8,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Dec/Mar/Apr/Jun,False,
dryer maintenance near me,10,43,0.0,0.0,BOFU,transactional,GROWING,Jul/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
dryer belt replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Aug,False,
dryer vent repair cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Mar,False,
samsung washer and dryer maintenance service,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Mar,False,
lg dryer belt replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Mar,False,
dryer heating element replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
samsung dryer belt replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov,False,
dyson hair dryer repair cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Feb/Apr,False,
tumble dryer repair cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jan/Apr,False,
lg dryer heating element replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,May,False,
samsung dryer drum replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep,False,
hotpoint tumble dryer repair cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
cost to replace heating element dryer,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
dryer heating coil replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
electrolux dryer motor replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Apr,False,
thermal fuse replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jan,False,
tumble dryer belt replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,May,False,
samsung washer motor replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Aug/Nov,False,
maytag washer motor replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,May,False,
whirlpool washer motor replacement cost,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Dec,False,
new motor for washing machine,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Jan,False,
samsung dryer maintenance,10,52,0.0,0.0,BOFU,transactional,SEASONAL,Nov/Dec/Jan/Feb/Mar/May/Jun,False,
dryer repair cost,10,60,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Feb/Apr/Jun,False,
clothes dryer repair cost,10,60,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Feb/Apr/Jun,False,
washer dryer repair cost,10,60,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Feb/Apr/Jun,False,
cost to fix dryer,10,60,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Feb/Apr/Jun,False,
dryer repair service cost,10,60,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Feb/Apr/Jun,False,
dryer repair price,10,60,0.0,0.0,BOFU,transactional,SEASONAL,Oct/Feb/Apr/Jun,False,
washing machine motor replacement cost,10,0,0.0,0.0,BOFU,transactional,DECLINING,Jul/Aug/Sep/Nov/Dec/Feb/Mar/Apr/May,False,
washer motor replacement cost,10,0,0.0,0.0,BOFU,transactional,DECLINING,Jul/Aug/Sep/Nov/Dec/Feb/Mar/Apr/May,False,
washing machine repair dubai cost,10,38,0.0,0.0,BOFU,transactional,DECLINING,Jul/Aug/Sep/Oct/Dec/Feb/Mar/May/Jun,False,
