Campaign,ID,Location
صيانة الغسالات والثلاجات - الخدمات الأساسية,9047099,"Sharjah,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,1000011,"Ajman,Ajman,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,1000010,"Abu Dhabi,Abu Dhabi,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,9047098,"Ras Al Khaimah,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,9047097,"Fujairah,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,9047100,"Emirate of Umm Al Quwain,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,1000014,"Ras Al-Khaimah,Ras Al Khaimah,United Arab Emirates"
صيانة الغسالات والثلاجات - الخدمات الأساسية,2608,Philippines
صيانة الغسالات والثلاجات - الخدمات الأساسية,2586,Pakistan
صيانة الغسالات والثلاجات - الخدمات الأساسية,2356,India
صيانة الغسالات والثلاجات - الخدمات الأساسية,2050,Bangladesh
صيانة الغسالات والثلاجات - الخدمات الأساسية,2360,Indonesia
صيانة الغسالات والثلاجات - الخدمات الأساسية,2818,Egypt
صيانة الغسالات والثلاجات - الخدمات الأساسية,2704,Vietnam
