Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Enhanced CPC,Final URL suffix,Campaign Status,Ad Group,Ad Group Type,Ad Group Status,Max CPC,Keyword,Criterion Type,ID,Location,Bid Modifier,Audience,Flexible Reach,Type,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status,Comment
صيانة الغسالات والثلاجات - الخدمات الأساسية,Search,Google search,1000,Daily,Manual CPC,Disabled,kw={keyword},Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,Standard,Enabled,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,تصليح غسالة,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,تصليح الغسالة,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1578,تصليح غسالة اتوماتيك,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,تصليح غسالات ال جي,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,تصليح غسالة ال جي اتوماتيك,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,تصليح غسالة كوندور,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1133,تصليح غسالات سامسونج,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,اصلاح كارتة الغسالة الفول اتوماتيك,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صيانة الغسالات والثلاجات - الخدمات الأساسية,,,,,,,,,تصليح غسالات الملابس,,,1797,مصلح غسالة,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
