keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washing machine repair dubai,2400,72,1241.19,4098.64,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Apr/May,False,local
fix washing machine dubai,2400,72,1241.19,4098.64,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Apr/May,False,local
washer dryer repair dubai,2400,72,1241.19,4098.64,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Apr/May,False,local
washing machine repair al qusais,260,50,1143.92,2937.77,BOFU,transactional,DECLINING,Jul/Aug,False,
washing machine repair dubai near me,210,83,973.35,3277.6,BOFU,transactional,STABLE,Jul/Aug/Oct/Dec/Jan/Apr,False,local
lg washing machine repair dubai,170,69,925.78,3655.57,BOFU,transactional,GROWING,Apr,False,local
washing machine repair silicon oasis,140,53,1029.19,3605.0,BOFU,transactional,GROWING,Dec/Feb/Mar,False,
siemens washing machine repair dubai,110,69,798.62,3028.59,BOFU,transactional,GROWING,Apr,False,local
washing machine repair dubai marina,110,64,1203.64,3277.6,BOFU,transactional,DECLINING,Jul/Aug,False,local
bosch washing machine repair dubai,90,69,695.25,2354.48,BOFU,transactional,GROWING,Apr,False,local
washing machine repair in palm jumeirah,90,9,0.0,0.0,BOFU,transactional,SEASONAL,Nov/Dec,False,
samsung washing machine repair dubai,90,69,780.57,3373.05,BOFU,transactional,SEASONAL,Apr/May/Jun,False,local
washing machine repair al warqa,70,54,1405.32,3433.09,BOFU,transactional,GROWING,Mar,False,
washing machine repair bur dubai,70,47,973.35,2650.41,BOFU,transactional,SEASONAL,Jun,False,local
washing machine repair jlt,70,53,752.24,1347.51,BOFU,transactional,SEASONAL,Dec,False,
washing machine service dubai,50,89,973.35,3741.28,BOFU,transactional,SEASONAL,Jun,False,local
washing machine repair karama,40,68,1221.71,3143.63,BOFU,transactional,SEASONAL,Dec,False,
washing machine repair al barsha,30,78,1639.88,3540.46,BOFU,transactional,SEASONAL,Jan,False,
washing machine not spinning,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washer not spinning,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine will not spin,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washer will not spin,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine does not spin,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
laundry machine not spinning,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not rotating,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
clothes washer not spinning,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine no spin,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
clothes washer will not spin,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not rinse and spin,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not spinning clothes,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
washing not spinning,30,73,757.13,2202.01,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Feb/Apr,False,
lg washing machine service dubai,20,96,1514.29,4236.84,BOFU,transactional,SEASONAL,Jan,False,local
washing machine repair satwa,20,100,1474.98,2852.78,BOFU,transactional,SEASONAL,Nov,False,
teka washing machine repair dubai,10,8,0.0,0.0,BOFU,transactional,GROWING,Apr,False,local
best washing machine repair dubai,10,0,0.0,0.0,BOFU,transactional,GROWING,Apr,False,local
