keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washing machine repair dubai,2900,73,1302.63,4164.29,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Apr/May,False,local
fix washing machine dubai,2900,73,1302.63,4164.29,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Apr/May,False,local
washer dryer repair dubai,2900,73,1302.63,4164.29,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Apr/May,False,local
washing machine repair al qusais,260,50,1143.95,2937.84,BOFU,transactional,DECLINING,Jul/Aug,False,
washing machine repair dubai near me,210,82,973.37,3248.29,BOFU,transactional,STABLE,Jul/Aug/Oct/Dec/Jan/Apr,False,local
lg washing machine repair dubai,170,69,925.8,3655.66,BOFU,transactional,GROWING,Apr,False,local
washing machine repair silicon oasis,140,53,1029.21,3605.08,BOFU,transactional,GROWING,Dec/Feb/Mar,False,
siemens washing machine repair dubai,110,69,798.64,3028.66,BOFU,transactional,GROWING,Apr,False,local
washing machine repair dubai marina,110,64,1203.67,3277.68,BOFU,transactional,DECLINING,Jul/Aug,False,local
bosch washing machine repair dubai,90,69,695.27,2354.54,BOFU,transactional,GROWING,Apr,False,local
washing machine repair in palm jumeirah,90,9,0.0,0.0,BOFU,transactional,SEASONAL,Nov/Dec,False,
samsung washing machine repair dubai,90,69,780.59,3373.13,BOFU,transactional,SEASONAL,Apr/May/Jun,False,local
washing machine repair al warqa,70,54,1405.36,3433.17,BOFU,transactional,GROWING,Mar,False,
washing machine repair bur dubai,70,47,973.37,2650.47,BOFU,transactional,SEASONAL,Jun,False,local
washing machine repair jlt,70,53,752.26,1347.54,BOFU,transactional,SEASONAL,Dec,False,
dryer repair dubai,70,60,620.59,2706.51,BOFU,transactional,DECLINING,Aug/Sep/Oct/Nov,False,local
washing machine service dubai,50,89,973.37,3741.37,BOFU,transactional,SEASONAL,Jun,False,local
washing machine repair karama,40,68,1221.74,3143.71,BOFU,transactional,SEASONAL,Dec,False,
washing machine repair al barsha,30,78,1639.92,3540.54,BOFU,transactional,SEASONAL,Jan,False,
washing machine not rinse and spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washer not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine will not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washer will not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine does not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
laundry machine not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not rotating,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
clothes washer not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine no spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
clothes washer will not spin,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing machine not spinning clothes,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
washing not spinning,30,73,757.14,2202.06,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/Feb/Apr,False,
lg washing machine service dubai,20,96,1514.33,4236.94,BOFU,transactional,SEASONAL,Jan,False,local
washing machine repair satwa,20,100,1475.02,2852.85,BOFU,transactional,SEASONAL,Nov,False,
teka washing machine repair dubai,10,8,0.0,0.0,BOFU,transactional,GROWING,Apr,False,local
best washing machine repair dubai,10,0,0.0,0.0,BOFU,transactional,GROWING,Apr,False,local
washing machine repair service in dubai,10,13,0.0,0.0,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
hoover washing machine water not draining,10,8,0.0,0.0,MOFU,commercial,GROWING,Aug/Nov/May/Jun,False,
hisense washing machine not spinning,10,8,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,
lg washing machine not drying clothes,10,8,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Apr/May/Jun,False,
washing machine repair dubai al nahda,10,14,0.0,0.0,BOFU,transactional,SEASONAL,Jun,False,local
top load washing machine not draining,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Dec/Jan/Feb/May/Jun,False,
automatic washing machine drain problem,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Dec/Jan/Mar/Apr/May/Jun,False,
washer pump clogged,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Jan/Feb/Mar/Apr/Jun,False,
washing machine pump blocked,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Sep/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine not rotating,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Dec/Jan/Feb/Apr/Jun,False,
bosch washing machine not drying clothes,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Nov/Dec/May/Jun,False,
whirlpool washing machine repair dubai,10,16,0.0,0.0,BOFU,transactional,SEASONAL,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,local
washing machine fabric softener dispenser not draining,10,13,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Dec/Jan/May/Jun,False,
washing machine softener dispenser not draining,10,13,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Dec/Jan/May/Jun,False,
reason for washing machine not spinning,10,17,0.0,0.0,MOFU,commercial,GROWING,Jul/Dec/Jan/Feb/Apr/Jun,False,
problems with lg washers,10,4,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine repair dubai al qusais,10,70,418.02,1175.06,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
front load washing machine not spinning,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
front load washer not spinning,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
top load washing machine drum not spinning,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
front load washer does not spin,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
bompani washing machine repair dubai,10,0,0.0,0.0,BOFU,transactional,SEASONAL,Jul/Nov/Dec/Mar,False,local
tumble dryer repair dubai,10,0,0.0,0.0,BOFU,transactional,SEASONAL,Aug/Sep/Nov/Dec/Jan/Mar/May,False,local
samsung washing machine drum not rotating,10,13,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
midea washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Apr/May,False,
