Campaign,ID,Location
Water Leak Detection Dubai,9047099,"Sharjah,United Arab Emirates"
Water Leak Detection Dubai,1000011,"Ajman,Ajman,United Arab Emirates"
Water Leak Detection Dubai,1000010,"Abu Dhabi,Abu Dhabi,United Arab Emirates"
Water Leak Detection Dubai,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
Water Leak Detection Dubai,9047097,"Fujairah,United Arab Emirates"
Water Leak Detection Dubai,9047098,"Ras Al Khaimah,United Arab Emirates"
Water Leak Detection Dubai,9047100,"Emirate of Umm Al Quwain,United Arab Emirates"
Water Leak Detection Dubai,9253449,"Al Dhaid,Sharjah,United Arab Emirates"
Water Leak Detection Dubai,2586,Pakistan
Water Leak Detection Dubai,2356,India
Water Leak Detection Dubai,2360,Indonesia
Water Leak Detection Dubai,2608,Philippines
Water Leak Detection Dubai,2050,Bangladesh
Water Leak Detection Dubai,2704,Vietnam
Water Leak Detection Dubai,2818,Egypt
