Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Enhanced CPC,Final URL suffix,Campaign Status,Ad Group,Ad Group Type,Ad Group Status,Max CPC,Keyword,Criterion Type,ID,Location,Bid Modifier,Audience,Flexible Reach,Type,Ad type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status,Comment
Water Leak Detection Dubai,Search,Google search,1000,Daily,Manual CPC,Disabled,kw={keyword},Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,Standard,Enabled,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,2250,leakage on wall,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,883,leakage checking,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,leak detection specialist near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,leak near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,water leak detection,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,moisture leak detector,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,detector leak water,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,water leak sensor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Leak Detection Dubai,,,,,,,,,Water Leak Detection Services,,,1586,water leak detection sensor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
