Campaign,ID,Location
Emergency Electrician Dubai,9047099,"Sharjah,United Arab Emirates"
Emergency Electrician Dubai,1000011,"Ajman,Ajman,United Arab Emirates"
Emergency Electrician Dubai,1000010,"Abu Dhabi,Abu Dhabi,United Arab Emirates"
Emergency Electrician Dubai,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
Emergency Electrician Dubai,9047098,"Ras Al Khaimah,United Arab Emirates"
Emergency Electrician Dubai,9047097,"Fujairah,United Arab Emirates"
Emergency Electrician Dubai,9208402,"Umm Al Quwain,Emirate of Umm Al Quwain,United Arab Emirates"
Emergency Electrician Dubai,9047100,"Emirate of Umm Al Quwain,United Arab Emirates"
Emergency Electrician Dubai,2586,Pakistan
Emergency Electrician Dubai,2356,India
Emergency Electrician Dubai,2050,Bangladesh
Emergency Electrician Dubai,2608,Philippines
Emergency Electrician Dubai,2360,Indonesia
Emergency Electrician Dubai,2818,Egypt
Emergency Electrician Dubai,2566,Nigeria
