rank,verdict,why,value,volume,opportunity,serp_score,payout,pricing,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,emd,pseo,national,other_local,directory,pack_size,pack_median_reviews,query,occupants
1,WATCH,1 dedicated page already,11434.5,210,54.45,90,60.5,geo,60.5,Electrical,electrician,Lawton,OK,Comanche,90595,3,1,0,0,0,1,7,3,35,electrician Lawton OK,thumbtack.com (directory) | johnsonselectrical.com (independent site) | yelp.com (directory) | citylocal101.com (directory) | indeed.com (directory) | bbb.org (directory) | codeelectric-ok.com (dedicated page) | rexelusa.com (directory) | facebook.com (social profile)
2,STOP,2 dedicated electrical pages,6160.0,320,19.25,35,55.0,geo,55.0,Electrical,electrician,Yakima,WA,Yakima,136518,7,2,0,0,0,3,4,3,135,electrician Yakima WA,thunderelectric.com (dedicated page) | yelp.com (directory) | 509electric.com (dedicated page) | bigfootelectric.com (independent site) | facebook.com (social profile) | namesandnumbers.com (directory) | primaryelectricanddesign.com (independent site) | wattsmartelectric.com (independent site) | todayshomeowner.com (directory)
3,STOP,1 city EMD on page one; 3 dedicated electrical pages,2946.4,260,11.33,25,45.33,geo,45.33,Electrical,electrician,Longview,TX,Gregg,106896,3,3,1,0,0,2,4,3,59,electrician Longview TX,facebook.com (social profile) | yelp.com (directory) | longviewlicensedelectrician.com (city EMD + dedicated page) | tdpelectric.com (independent site) | bbb.org (directory) | cobb-electric.com (dedicated page) | indeed.com (directory) | eteclongview.com (independent site) | dynamic-electricians.com (dedicated page)
4,STOP,3 dedicated electrical pages,2778.3,140,19.84,35,56.7,geo,56.7,Electrical,electrician,Ormond Beach,FL,Volusia,43976,1,3,0,0,0,2,4,3,28,electrician Ormond Beach FL,nextdoor.com (directory) | courteauxelectric.com (dedicated page) | electricianfl.com (dedicated page) | beachsideelectricfl.com (dedicated page) | yelp.com (directory) | bbb.org (directory) | paulselectric.com (independent site) | angi.com (directory) | cainselectric.com (independent site)
5,STOP,4 dedicated electrical pages,2070.6,170,12.18,24,50.75,geo,50.75,Electrical,electrician,Boynton Beach,FL,Palm Beach,81435,9,4,0,0,0,1,4,4,429,electrician Boynton Beach FL,simonelectricllc.com (dedicated page) | nextdoor.com (directory) | alphatecelectric.com (dedicated page) | yelp.com (directory) | mistersparky.com (dedicated page) | thumbtack.com (directory) | kasperelectricinc.com (dedicated page) | agelectric.us (independent site) | bbb.org (directory)
6,WATCH,"2 small local pages, weak map pack (<100 reviews); SERP 35 < 60; only 90 searches/mo",1905.7,90,21.17,35,60.5,geo,60.5,Electrical,electrician,Stillwater,OK,Payne,49269,1,2,0,0,0,2,5,3,79,electrician Stillwater OK,fieldelectricinc.com (independent site) | knightselectricllc.com (independent site) | yelp.com (directory) | aceelectricstw.com (dedicated page) | facebook.com (social profile) | indeed.com (directory) | bbb.org (directory) | meridiantech.edu (directory) | martinelectricok.com (dedicated page)
7,STOP,3 dedicated electrical pages,1455.3,90,16.17,35,46.2,geo,46.2,Electrical,electrician,Sebring,FL,Highlands,67549,4,3,0,0,0,0,6,3,77,electrician Sebring FL,angi.com (directory) | doneriteelectricalservices.com (dedicated page) | nextdoor.com (directory) | facebook.com (social profile) | climateguardelectrical.com (dedicated page) | yelp.com (directory) | markpalmerelectricandair.com (dedicated page) | indeed.com (directory) | bbb.org (directory)
8,STOP,5 dedicated electrical pages,1323.0,140,9.45,18,52.5,geo,52.5,Electrical,electrician,Monterey,CA,Monterey,29613,4,5,0,0,0,1,3,3,16,electrician Monterey CA,yelp.com (directory) | wattelectricinc.com (dedicated page) | russgallowayelectric.com (dedicated page) | dsaelectric.com (dedicated page) | alphaomegaelectric.org (dedicated page) | jpelectric.co (dedicated page) | thumbtack.com (directory) | indeed.com (directory) | fehnelectric.net (independent site)
9,STOP,3 dedicated electrical pages,1102.5,50,22.05,35,63.0,geo,63.0,Electrical,electrician,Richland,WA,Benton,62753,2,3,0,0,0,1,5,3,66,electrician Richland WA,letsgowithessco.com (independent site) | bbb.org (directory) | indeed.com (directory) | yelp.com (directory) | prairielectric.com (dedicated page) | thornelectric.com (dedicated page) | angi.com (directory) | richlandwa.gov (directory) | mrelectric.com (dedicated page)
10,STOP,4 dedicated electrical pages,1102.5,50,22.05,35,63.0,geo,63.0,Electrical,electrician,Walla Walla,WA,Walla Walla,33925,1,4,0,0,0,1,4,3,57,electrician Walla Walla WA,doyleelectric.com (dedicated page) | yelp.com (directory) | wwelectric.com (dedicated page) | nicoelectrical.com (independent site) | angi.com (directory) | myswitchelectric.com (dedicated page) | facebook.com (social profile) | bbb.org (directory) | 7electricllc.com (dedicated page)
