keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washing machine repair dubai,2900,71,1034.0,4080.25,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Jan/Apr/May/Jun,False,
fix washing machine dubai,2900,71,1034.0,4080.25,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Jan/Apr/May/Jun,False,
washer dryer repair dubai,2900,71,1034.0,4080.25,BOFU,transactional,STABLE,Aug/Sep/Oct/Dec/Jan/Apr/May/Jun,False,
washing machine repair al qusais,260,48,973.44,2634.6,BOFU,transactional,DECLINING,Jul/Aug,False,
washing machine repair dubai near me,210,82,973.44,3248.51,BOFU,transactional,STABLE,Aug/Dec/Jan/Apr,False,local
washing machine repair silicon oasis,170,53,1029.28,3605.33,BOFU,transactional,GROWING,Feb/Mar,False,
lg washing machine repair dubai,170,66,915.18,3529.42,BOFU,transactional,GROWING,Apr,False,
washer maintenance near me,170,77,711.46,2946.93,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Dec/Feb/Mar/Apr/May/Jun,False,local
siemens washing machine repair dubai,140,68,753.72,3028.87,BOFU,transactional,GROWING,Apr,False,
washing machine repair dubai marina,140,59,1225.31,3277.9,BOFU,transactional,DECLINING,Jul/Aug/Jan,False,
washing machine repair al warqa,110,48,1067.38,3270.57,BOFU,transactional,SEASONAL,Jul/Aug/May/Jun,False,
samsung washing machine repair dubai,110,69,780.65,3346.06,BOFU,transactional,SEASONAL,Apr/May/Jun,False,
bosch washing machine repair dubai,90,67,695.31,2650.26,BOFU,transactional,GROWING,Apr,False,
washing machine repair in palm jumeirah,90,9,0.0,0.0,BOFU,transactional,SEASONAL,Nov,False,
washer machine maintenance,90,78,872.14,4164.58,BOFU,transactional,STABLE,Jul,False,
washing machine maintenance,90,78,872.14,4164.58,BOFU,transactional,STABLE,Jul,False,
washer maintenance,90,78,872.14,4164.58,BOFU,transactional,STABLE,Jul,False,
laundry machine maintenance,90,78,872.14,4164.58,BOFU,transactional,STABLE,Jul,False,
clothes washer maintenance,90,78,872.14,4164.58,BOFU,transactional,STABLE,Jul,False,
maintenance wash washing machine,90,78,872.14,4164.58,BOFU,transactional,STABLE,Jul,False,
maintain washing machine,90,78,872.14,4164.58,MOFU,commercial,STABLE,Jul,False,
washing machine repair bur dubai,70,47,973.44,2650.65,BOFU,transactional,SEASONAL,Jun,False,
washing machine repair jlt,70,53,752.31,1347.64,BOFU,transactional,SEASONAL,Dec,False,
washing machine not spinning,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washer not spinning,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing machine will not spin,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washer will not spin,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing machine does not spin,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
laundry machine not spinning,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing machine not rotating,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
clothes washer not spinning,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing machine no spin,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
clothes washer will not spin,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing machine not rinse and spin,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing machine not spinning clothes,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
washing not spinning,70,68,567.91,2018.09,MOFU,commercial,STABLE,Jan,False,
dryer repair dubai,70,59,620.63,2706.7,BOFU,transactional,DECLINING,Aug,False,
washing machine service dubai,50,88,973.44,3683.0,BOFU,transactional,SEASONAL,Jun,False,
washing machine maintenance service,40,67,973.44,3672.0,BOFU,transactional,GROWING,Feb/Mar,False,
washing machine repair al barsha,40,79,1655.03,3444.74,BOFU,transactional,GROWING,Jan,False,
washing machine repair karama,40,66,1221.82,3143.92,BOFU,transactional,SEASONAL,Dec,False,
washing machine drum not spinning,30,75,457.38,2025.39,MOFU,commercial,STABLE,Aug/Oct/Nov/Dec/Jan/Mar/May,False,
washer drum not spinning,30,75,457.38,2025.39,MOFU,commercial,STABLE,Aug/Oct/Nov/Dec/Jan/Mar/May,False,
washer drum not moving,30,75,457.38,2025.39,MOFU,commercial,STABLE,Aug/Oct/Nov/Dec/Jan/Mar/May,False,
washer drum not turning,30,75,457.38,2025.39,MOFU,commercial,STABLE,Aug/Oct/Nov/Dec/Jan/Mar/May,False,
washing machine drum not moving,30,75,457.38,2025.39,MOFU,commercial,STABLE,Aug/Oct/Nov/Dec/Jan/Mar/May,False,
