Campaign,Ad Group,ID#Original,ID,Location#Original,Location,Reach,Location groups#Original,Location groups,Radius#Original,Radius,Unit#Original,Unit,Bid Modifier,Campaign Status,Ad Group Status,Status,Comment
Glass Partitions Dubai,,,1000013,,"Dubai,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Glass Partitions Dubai,,,9041083,,"Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Glass Partitions Dubai,,,9070456,,"Palm Islands,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Glass Partitions Dubai,,,9189230,,"Jabal Ali Second,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Glass Partitions Dubai,,,9189519,,"Dubai Sports City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Glass Partitions Dubai,,,9189585,,"Al Quoz Industrial Area 4,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Glass Partitions Dubai,,,9189674,,"Dubai Production City,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Glass Partitions Dubai,,,9189772,,"Dubai Creek Harbour,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Glass Partitions Dubai,,,9190056,,"Nadd Al Hamar,Dubai,United Arab Emirates",,,,,,,,,Paused,,Enabled,
Glass Partitions Dubai,,,9190079,,"Dubai Investment Park - 2,Dubai,United Arab Emirates",,,,,,,,-90,Paused,,Enabled,low
Glass Partitions Dubai,,,9190096,,"Al Barsha 2,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Glass Partitions Dubai,,,9190172,,"Al Sufouh 1,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Glass Partitions Dubai,,,9190191,,"Jumeirah Park,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
Glass Partitions Dubai,,,9190340,,"Damac Hills,Dubai,United Arab Emirates",,,,,,,,25,Paused,,Enabled,premium
