Campaign,ID,Location
Glass Partitions Dubai,9047099,"Sharjah,United Arab Emirates"
Glass Partitions Dubai,1000011,"Ajman,Ajman,United Arab Emirates"
Glass Partitions Dubai,1000010,"Abu Dhabi,Abu Dhabi,United Arab Emirates"
Glass Partitions Dubai,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
Glass Partitions Dubai,9047098,"Ras Al Khaimah,United Arab Emirates"
Glass Partitions Dubai,9047097,"Fujairah,United Arab Emirates"
Glass Partitions Dubai,9208402,"Umm Al Quwain,Emirate of Umm Al Quwain,United Arab Emirates"
Glass Partitions Dubai,9047100,"Emirate of Umm Al Quwain,United Arab Emirates"
Glass Partitions Dubai,2586,Pakistan
Glass Partitions Dubai,2356,India
Glass Partitions Dubai,2050,Bangladesh
Glass Partitions Dubai,2608,Philippines
Glass Partitions Dubai,2360,Indonesia
Glass Partitions Dubai,2818,Egypt
Glass Partitions Dubai,2704,Vietnam
