city,state,service,volume,local_volume,domain,emd,payout,bids,pop,zips,verdict,serp_score,why,geo_name
Kingman,AZ,plumbers,590,110,kingmanplumbers.com,taken,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Lake Havasu City,AZ,plumbers,390,90,lakehavasucityplumbers.com,free,54.39,True,58359,4,STOP,35,3 dedicated plumbing pages,"Lake Havasu City,Arizona,United States"
Kingman,AZ,drain cleaning,10,20,kingmandraincleaning.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Kingman,AZ,water heater repair,10,10,kingmanwaterheaterrepair.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Kingman,AZ,leak detection,10,10,kingmanleakdetection.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Lake Havasu City,AZ,water heater repair,10,20,lakehavasucitywaterheaterrepair.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
Kingman,AZ,plumbing,0,0,kingmanplumbing.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Kingman,AZ,emergency plumbing,0,20,kingmanemergencyplumbing.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Kingman,AZ,sewer line repair,0,10,kingmansewerlinerepair.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Kingman,AZ,water heater replacement,0,10,kingmanwaterheaterreplacement.com,,56.98,True,34375,3,,,,"Kingman,Arizona,United States"
Lake Havasu City,AZ,plumbing,0,0,lakehavasucityplumbing.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,emergency plumbing,0,20,lakehavasucityemergencyplumbing.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,drain cleaning,0,10,lakehavasucitydraincleaning.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,leak detection,0,10,lakehavasucityleakdetection.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,sewer line repair,0,10,lakehavasucitysewerlinerepair.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,water heater replacement,0,10,lakehavasucitywaterheaterreplacement.com,,54.39,True,58359,4,,,,"Lake Havasu City,Arizona,United States"
