city,state,service,volume,local_volume,domain,emd,payout,bids,pop,zips,verdict,serp_score,dedicated,local_firms,pack_reviews,pack_also_organic,emd_on_page,why,geo_name
Plainfield,NJ,roof inspection,10,10,plainfieldroofinspection.com,free,166.95,True,55236,4,STOP,0,3,3,11,0,3,3 city EMD on page one; 3 programmatic subdomain(s),"Plainfield,New Jersey,United States"
Plainfield,NJ,roof repair,10,10,plainfieldroofrepair.com,taken,166.95,True,55236,4,,,,,,,,,"Plainfield,New Jersey,United States"
Plainfield,NJ,roof replacement,10,10,plainfieldroofreplacement.com,free,166.95,True,55236,4,STOP,22,5,5,11,0,0,5 dedicated roofing pages,"Plainfield,New Jersey,United States"
Plainfield,NJ,roofers,10,30,plainfieldroofers.com,taken,166.95,True,55236,4,,,,,,,,,"Plainfield,New Jersey,United States"
Linden,NJ,roof inspection,0,10,lindenroofinspection.com,,166.95,True,44192,1,,,,,,,,,"Linden,New Jersey,United States"
Linden,NJ,roof repair,0,10,lindenroofrepair.com,,166.95,True,44192,1,,,,,,,,,"Linden,New Jersey,United States"
Linden,NJ,roof leak repair,0,10,lindenroofleakrepair.com,,166.95,True,44192,1,,,,,,,,,"Linden,New Jersey,United States"
Linden,NJ,roof replacement,0,10,lindenroofreplacement.com,,166.95,True,44192,1,,,,,,,,,"Linden,New Jersey,United States"
Linden,NJ,roofers,0,10,lindenroofers.com,,166.95,True,44192,1,,,,,,,,,"Linden,New Jersey,United States"
New Brunswick,NJ,roof inspection,0,10,newbrunswickroofinspection.com,,166.95,True,56345,5,,,,,,,,,"New Brunswick,New Jersey,United States"
New Brunswick,NJ,roof repair,0,10,newbrunswickroofrepair.com,,166.95,True,56345,5,,,,,,,,,"New Brunswick,New Jersey,United States"
New Brunswick,NJ,roof leak repair,0,10,newbrunswickroofleakrepair.com,,166.95,True,56345,5,,,,,,,,,"New Brunswick,New Jersey,United States"
New Brunswick,NJ,roof replacement,0,10,newbrunswickroofreplacement.com,,166.95,True,56345,5,,,,,,,,,"New Brunswick,New Jersey,United States"
New Brunswick,NJ,roofers,0,40,newbrunswickroofers.com,,166.95,True,56345,5,,,,,,,,,"New Brunswick,New Jersey,United States"
Perth Amboy,NJ,roof inspection,0,10,perthamboyroofinspection.com,,166.95,True,55855,2,,,,,,,,,"Perth Amboy,New Jersey,United States"
Perth Amboy,NJ,roof repair,0,10,perthamboyroofrepair.com,,166.95,True,55855,2,,,,,,,,,"Perth Amboy,New Jersey,United States"
Perth Amboy,NJ,roof leak repair,0,10,perthamboyroofleakrepair.com,,166.95,True,55855,2,,,,,,,,,"Perth Amboy,New Jersey,United States"
Perth Amboy,NJ,roof replacement,0,10,perthamboyroofreplacement.com,,166.95,True,55855,2,,,,,,,,,"Perth Amboy,New Jersey,United States"
Perth Amboy,NJ,roofers,0,20,perthamboyroofers.com,,166.95,True,55855,2,,,,,,,,,"Perth Amboy,New Jersey,United States"
Plainfield,NJ,roof leak repair,0,10,plainfieldroofleakrepair.com,,166.95,True,55236,4,,,,,,,,,"Plainfield,New Jersey,United States"
