city,state,service,volume,domain,emd,payout,bids,pop,zips,verdict,serp_score,why,geo_name
Torrance,CA,plumbers,480,torranceplumbers.com,taken,115.21,True,142130,10,,,,"Torrance,California,United States"
Gardena,CA,plumbers,70,gardenaplumbers.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Redondo Beach,CA,plumbers,70,redondobeachplumbers.com,,92.75,True,69291,2,,,,"Redondo Beach,California,United States"
Torrance,CA,water heater repair,70,torrancewaterheaterrepair.com,,115.21,True,142130,10,,,,"Torrance,California,United States"
Torrance,CA,drain cleaning,70,torrancedraincleaning.com,,115.21,True,142130,10,,,,"Torrance,California,United States"
Carson,CA,plumbers,10,carsonplumbers.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Gardena,CA,water heater repair,10,gardenawaterheaterrepair.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Gardena,CA,drain cleaning,10,gardenadraincleaning.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Hawthorne,CA,water heater repair,10,hawthornewaterheaterrepair.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Hawthorne,CA,plumbers,10,hawthorneplumbers.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Lomita,CA,plumbers,10,lomitaplumbers.com,,115.21,True,20225,1,,,,"Lomita,California,United States"
Redondo Beach,CA,water heater repair,10,redondobeachwaterheaterrepair.com,,92.75,True,69291,2,,,,"Redondo Beach,California,United States"
Redondo Beach,CA,emergency plumbing,10,redondobeachemergencyplumbing.com,,92.75,True,69291,2,,,,"Redondo Beach,California,United States"
Redondo Beach,CA,drain cleaning,10,redondobeachdraincleaning.com,,92.75,True,69291,2,,,,"Redondo Beach,California,United States"
Torrance,CA,water heater replacement,10,torrancewaterheaterreplacement.com,,115.21,True,142130,10,,,,"Torrance,California,United States"
Torrance,CA,emergency plumbing,10,torranceemergencyplumbing.com,,115.21,True,142130,10,,,,"Torrance,California,United States"
Carson,CA,water heater repair,0,carsonwaterheaterrepair.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Carson,CA,water heater installation,0,carsonwaterheaterinstallation.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Carson,CA,water heater replacement,0,carsonwaterheaterreplacement.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Carson,CA,tankless water heater installation,0,carsontanklesswaterheaterinstallation.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Carson,CA,tankless water heater repair,0,carsontanklesswaterheaterrepair.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Carson,CA,emergency plumbing,0,carsonemergencyplumbing.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Carson,CA,drain cleaning,0,carsondraincleaning.com,,115.21,True,92871,6,,,,"Carson,California,United States"
Gardena,CA,water heater installation,0,gardenawaterheaterinstallation.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Gardena,CA,water heater replacement,0,gardenawaterheaterreplacement.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Gardena,CA,tankless water heater installation,0,gardenatanklesswaterheaterinstallation.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Gardena,CA,tankless water heater repair,0,gardenatanklesswaterheaterrepair.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Gardena,CA,emergency plumbing,0,gardenaemergencyplumbing.com,,92.75,True,59422,3,,,,"Gardena,California,United States"
Hawthorne,CA,water heater installation,0,hawthornewaterheaterinstallation.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Hawthorne,CA,water heater replacement,0,hawthornewaterheaterreplacement.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Hawthorne,CA,tankless water heater installation,0,hawthornetanklesswaterheaterinstallation.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Hawthorne,CA,tankless water heater repair,0,hawthornetanklesswaterheaterrepair.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Hawthorne,CA,emergency plumbing,0,hawthorneemergencyplumbing.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Hawthorne,CA,drain cleaning,0,hawthornedraincleaning.com,,92.75,True,85191,3,,,,"Hawthorne,California,United States"
Lomita,CA,water heater repair,0,lomitawaterheaterrepair.com,,115.21,True,20225,1,,,,"Lomita,California,United States"
Lomita,CA,water heater installation,0,lomitawaterheaterinstallation.com,,115.21,True,20225,1,,,,"Lomita,California,United States"
Lomita,CA,water heater replacement,0,lomitawaterheaterreplacement.com,,115.21,True,20225,1,,,,"Lomita,California,United States"
Lomita,CA,tankless water heater installation,0,lomitatanklesswaterheaterinstallation.com,,115.21,True,20225,1,,,,"Lomita,California,United States"
