city,state,service,volume,local_volume,domain,emd,payout,bids,pop,zips,verdict,serp_score,why,geo_name
Brenham,TX,roofers,10,10,brenhamroofers.com,,148.75,True,18641,2,,,,"Brenham,Texas,United States"
Brenham,TX,roof repair,10,10,brenhamroofrepair.com,,148.75,True,18641,2,,,,"Brenham,Texas,United States"
Brenham,TX,roofing,0,0,brenhamroofing.com,,148.75,True,18641,2,,,,"Brenham,Texas,United States"
Brenham,TX,roof replacement,0,10,brenhamroofreplacement.com,,148.75,True,18641,2,,,,"Brenham,Texas,United States"
Clute,TX,roofers,0,10,cluteroofers.com,,166.25,True,10715,1,,,,"Clute,Texas,United States"
Clute,TX,roofing,0,0,cluteroofing.com,,166.25,True,10715,1,,,,"Clute,Texas,United States"
Clute,TX,roof repair,0,10,cluteroofrepair.com,,166.25,True,10715,1,,,,"Clute,Texas,United States"
Clute,TX,roof replacement,0,10,cluteroofreplacement.com,,166.25,True,10715,1,,,,"Clute,Texas,United States"
El Campo,TX,roofers,0,10,elcamporoofers.com,,166.25,True,12202,1,,,,"El Campo,Texas,United States"
El Campo,TX,roofing,0,0,elcamporoofing.com,,166.25,True,12202,1,,,,"El Campo,Texas,United States"
El Campo,TX,roof repair,0,10,elcamporoofrepair.com,,166.25,True,12202,1,,,,"El Campo,Texas,United States"
El Campo,TX,roof replacement,0,10,elcamporoofreplacement.com,,166.25,True,12202,1,,,,"El Campo,Texas,United States"
Groves,TX,roofers,0,10,grovesroofers.com,,148.75,True,16976,1,,,,"Groves,Texas,United States"
Groves,TX,roofing,0,0,grovesroofing.com,,148.75,True,16976,1,,,,"Groves,Texas,United States"
Groves,TX,roof repair,0,10,grovesroofrepair.com,,148.75,True,16976,1,,,,"Groves,Texas,United States"
Groves,TX,roof replacement,0,0,grovesroofreplacement.com,,148.75,True,16976,1,,,,"Groves,Texas,United States"
Lumberton,TX,roofers,0,10,lumbertonroofers.com,,148.75,True,13963,1,,,,"Lumberton,Texas,United States"
Lumberton,TX,roofing,0,0,lumbertonroofing.com,,148.75,True,13963,1,,,,"Lumberton,Texas,United States"
Lumberton,TX,roof repair,0,10,lumbertonroofrepair.com,,148.75,True,13963,1,,,,"Lumberton,Texas,United States"
Lumberton,TX,roof replacement,0,10,lumbertonroofreplacement.com,,148.75,True,13963,1,,,,"Lumberton,Texas,United States"
Nederland,TX,roofers,0,10,nederlandroofers.com,,148.75,True,18381,1,,,,"Nederland,Texas,United States"
Nederland,TX,roofing,0,0,nederlandroofing.com,,148.75,True,18381,1,,,,"Nederland,Texas,United States"
Nederland,TX,roof repair,0,10,nederlandroofrepair.com,,148.75,True,18381,1,,,,"Nederland,Texas,United States"
Nederland,TX,roof replacement,0,0,nederlandroofreplacement.com,,148.75,True,18381,1,,,,"Nederland,Texas,United States"
Port Neches,TX,roofers,0,10,portnechesroofers.com,,148.75,True,13664,1,,,,"Port Neches,Texas,United States"
Port Neches,TX,roofing,0,0,portnechesroofing.com,,148.75,True,13664,1,,,,"Port Neches,Texas,United States"
Port Neches,TX,roof repair,0,10,portnechesroofrepair.com,,148.75,True,13664,1,,,,"Port Neches,Texas,United States"
Port Neches,TX,roof replacement,0,10,portnechesroofreplacement.com,,148.75,True,13664,1,,,,"Port Neches,Texas,United States"
