city,state,service,volume,local_volume,domain,emd,payout,bids,pop,zips,verdict,serp_score,dedicated,local_firms,pack_reviews,pack_also_organic,emd_on_page,why,geo_name
Lake Havasu City,AZ,ac repair,170,110,lakehavasucityacrepair.com,free,51.8,True,58359,4,STOP,35,2,2,238,0,0,2 dedicated hvac pages,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,air conditioning repair,170,110,lakehavasucityairconditioningrepair.com,free,51.8,True,58359,4,STOP,25,1,1,238,0,1,1 city EMD on page one,"Lake Havasu City,Arizona,United States"
Kingman,AZ,hvac,70,50,kingmanhvac.com,taken,26.25,True,34375,2,,,,,,,,,"Kingman,Arizona,United States"
Lake Havasu City,AZ,hvac,70,70,lakehavasucityhvac.com,free,51.8,True,58359,4,UNREAD,,,,,,,page one could not be read,"Lake Havasu City,Arizona,United States"
Sierra Vista,AZ,hvac,70,40,sierravistahvac.com,taken,21.42,True,45155,2,,,,,,,,,"Sierra Vista,Arizona,United States"
Kingman,AZ,ac repair,50,70,kingmanacrepair.com,,26.25,True,34375,2,,,,,,,,,"Kingman,Arizona,United States"
Sierra Vista,AZ,ac repair,30,40,sierravistaacrepair.com,,21.42,True,45155,2,,,,,,,,,"Sierra Vista,Arizona,United States"
Sierra Vista,AZ,air conditioning repair,30,40,sierravistaairconditioningrepair.com,,21.42,True,45155,2,,,,,,,,,"Sierra Vista,Arizona,United States"
Kingman,AZ,ac installation,10,30,kingmanacinstallation.com,,26.25,True,34375,2,,,,,,,,,"Kingman,Arizona,United States"
Kingman,AZ,furnace repair,10,20,kingmanfurnacerepair.com,,26.25,True,34375,2,,,,,,,,,"Kingman,Arizona,United States"
Sierra Vista,AZ,furnace repair,10,10,sierravistafurnacerepair.com,,21.42,True,45155,2,,,,,,,,,"Sierra Vista,Arizona,United States"
Kingman,AZ,air conditioning repair,0,70,kingmanairconditioningrepair.com,,26.25,True,34375,2,,,,,,,,,"Kingman,Arizona,United States"
Lake Havasu City,AZ,ac installation,0,20,lakehavasucityacinstallation.com,,51.8,True,58359,4,,,,,,,,,"Lake Havasu City,Arizona,United States"
Lake Havasu City,AZ,furnace repair,0,10,lakehavasucityfurnacerepair.com,,51.8,True,58359,4,,,,,,,,,"Lake Havasu City,Arizona,United States"
Sierra Vista,AZ,ac installation,0,10,sierravistaacinstallation.com,,21.42,True,45155,2,,,,,,,,,"Sierra Vista,Arizona,United States"
