city,state,service,volume,local_volume,domain,emd,payout,bids,pop,zips,verdict,serp_score,dedicated,local_firms,pack_reviews,pack_also_organic,emd_on_page,why,geo_name
Channelview,TX,roof repair,10,10,channelviewroofrepair.com,free,166.25,True,43605,1,STOP,0,6,6,122,0,0,1 programmatic subdomain(s); 6 dedicated roofing pages,"Channelview,Texas,United States"
Friendswood,TX,roof repair,10,10,friendswoodroofrepair.com,free,166.25,True,41030,2,UNREAD,,,,,,,page one could not be read,"Friendswood,Texas,United States"
Friendswood,TX,roofers,10,20,friendswoodroofers.com,taken,166.25,True,41030,2,,,,,,,,,"Friendswood,Texas,United States"
Huntsville,TX,roof repair,10,10,huntsvilleroofrepair.com,taken,166.25,True,47864,8,,,,,,,,,"Huntsville,Texas,United States"
Huntsville,TX,roofers,10,10,huntsvilleroofers.com,taken,166.25,True,47864,8,,,,,,,,,"Huntsville,Texas,United States"
Texas City,TX,roof repair,10,10,texascityroofrepair.com,free,166.25,True,55364,3,WATCH,35,2,2,34,0,0,"2 small local pages, weak map pack (<100 reviews); SERP 35 < 60; only 10 searches/mo","Texas City,Texas,United States"
Texas City,TX,roof replacement,10,10,texascityroofreplacement.com,free,166.25,True,55364,3,STOP,35,4,5,41,1,0,4 dedicated roofing pages,"Texas City,Texas,United States"
Channelview,TX,roof leak repair,0,10,channelviewroofleakrepair.com,,166.25,True,43605,1,,,,,,,,,"Channelview,Texas,United States"
Channelview,TX,roof replacement,0,10,channelviewroofreplacement.com,,166.25,True,43605,1,,,,,,,,,"Channelview,Texas,United States"
Channelview,TX,roof inspection,0,10,channelviewroofinspection.com,,166.25,True,43605,1,,,,,,,,,"Channelview,Texas,United States"
Channelview,TX,roofers,0,10,channelviewroofers.com,,166.25,True,43605,1,,,,,,,,,"Channelview,Texas,United States"
Friendswood,TX,roof leak repair,0,10,friendswoodroofleakrepair.com,,166.25,True,41030,2,,,,,,,,,"Friendswood,Texas,United States"
Friendswood,TX,roof replacement,0,10,friendswoodroofreplacement.com,,166.25,True,41030,2,,,,,,,,,"Friendswood,Texas,United States"
Friendswood,TX,roof inspection,0,10,friendswoodroofinspection.com,,166.25,True,41030,2,,,,,,,,,"Friendswood,Texas,United States"
Huntsville,TX,roof leak repair,0,10,huntsvilleroofleakrepair.com,,166.25,True,47864,8,,,,,,,,,"Huntsville,Texas,United States"
Huntsville,TX,roof replacement,0,10,huntsvilleroofreplacement.com,,166.25,True,47864,8,,,,,,,,,"Huntsville,Texas,United States"
Huntsville,TX,roof inspection,0,10,huntsvilleroofinspection.com,,166.25,True,47864,8,,,,,,,,,"Huntsville,Texas,United States"
Texas City,TX,roof leak repair,0,10,texascityroofleakrepair.com,,166.25,True,55364,3,,,,,,,,,"Texas City,Texas,United States"
Texas City,TX,roof inspection,0,10,texascityroofinspection.com,,166.25,True,55364,3,,,,,,,,,"Texas City,Texas,United States"
Texas City,TX,roofers,0,20,texascityroofers.com,,166.25,True,55364,3,,,,,,,,,"Texas City,Texas,United States"
