Campaign,ID,Location
Core Electrician Services,9047099,"Sharjah,United Arab Emirates"
Core Electrician Services,1000011,"Ajman,Ajman,United Arab Emirates"
Core Electrician Services,1000010,"Abu Dhabi,Abu Dhabi,United Arab Emirates"
Core Electrician Services,1000012,"Al Ain,Abu Dhabi,United Arab Emirates"
Core Electrician Services,9047098,"Ras Al Khaimah,United Arab Emirates"
Core Electrician Services,9047097,"Fujairah,United Arab Emirates"
Core Electrician Services,9208402,"Umm Al Quwain,Emirate of Umm Al Quwain,United Arab Emirates"
Core Electrician Services,9047100,"Emirate of Umm Al Quwain,United Arab Emirates"
Core Electrician Services,2586,Pakistan
Core Electrician Services,2356,India
Core Electrician Services,2050,Bangladesh
Core Electrician Services,2608,Philippines
Core Electrician Services,2360,Indonesia
Core Electrician Services,2818,Egypt
Core Electrician Services,2704,Vietnam
