rank,opportunity,serp_score,payout,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,pseo,national,directory,query
1,288.0,100,122.5,288.0,Roofing,roof leak repair,Redwood City,CA,San Mateo,82447,5,0,0,0,4,roof leak repair Redwood City CA
2,253.91,82,140.0,309.65,Roofing,roof leak repair,Laguna Niguel,CA,Orange,64139,2,1,0,0,0,roof leak repair Laguna Niguel CA
3,251.33,82,140.0,306.5,Roofing,roof leak repair,Newport Beach,CA,Orange,83845,6,1,0,0,1,roof leak repair Newport Beach CA
4,246.77,90,140.0,274.19,Roofing,roof leak repair,Seal Beach,CA,Orange,24722,1,1,1,0,2,roof leak repair Seal Beach CA
5,236.2,86,140.0,274.65,Roofing,roof leak repair,Aliso Viejo,CA,Orange,51113,2,0,2,0,0,roof leak repair Aliso Viejo CA
6,215.62,76,140.0,283.71,Roofing,roof leak repair,Brea,CA,Orange,47469,3,2,0,0,2,roof leak repair Brea CA
7,214.67,82,140.0,261.79,Roofing,roof leak repair,Diamond Bar,CA,Los Angeles,53355,1,1,0,0,0,roof leak repair Diamond Bar CA
8,208.73,76,140.0,274.65,Roofing,roof leak repair,Newport Coast,CA,Orange,83845,1,2,0,0,2,roof leak repair Newport Coast CA
9,198.93,70,140.0,284.19,Roofing,roof leak repair,Cypress,CA,Orange,49498,1,2,0,0,1,roof leak repair Cypress CA
10,193.75,76,122.5,254.94,Roofing,roof leak repair,Dublin,CA,Alameda,70803,1,1,2,0,3,roof leak repair Dublin CA
11,189.71,76,140.0,249.62,Roofing,roof leak repair,San Dimas,CA,Los Angeles,33789,1,2,1,0,4,roof leak repair San Dimas CA
12,185.59,72,108.67,257.76,Plumbing,drain cleaning,Littleton,CO,Arapahoe,44710,16,2,0,1,3,drain cleaning Littleton CO
13,184.4,74,140.0,249.19,Roofing,roof leak repair,Azusa,CA,Los Angeles,49031,1,1,1,2,4,roof leak repair Azusa CA
14,182.38,70,140.0,260.55,Roofing,roof leak repair,Duarte,CA,Los Angeles,22184,3,2,1,0,3,roof leak repair Duarte CA
15,181.94,72,122.5,252.69,Roofing,roof leak repair,Daly City,CA,San Mateo,101964,4,3,0,0,3,roof leak repair Daly City CA
16,176.98,70,140.0,252.83,Roofing,roof leak repair,San Fernando,CA,Los Angeles,23632,2,2,0,0,1,roof leak repair San Fernando CA
17,172.2,66,122.5,260.91,Roofing,roof leak repair,Los Gatos,CA,Santa Clara,32786,4,3,1,0,4,roof leak repair Los Gatos CA
18,167.55,64,140.0,261.79,Roofing,roof leak repair,Chino Hills,CA,San Bernardino,77927,1,2,0,0,0,roof leak repair Chino Hills CA
19,162.0,64,122.5,253.12,Roofing,roof leak repair,Stanford,CA,Santa Clara,18662,1,1,2,0,1,roof leak repair Stanford CA
20,159.76,64,140.0,249.62,Roofing,roof leak repair,Manhattan Beach,CA,Los Angeles,34210,2,2,0,0,0,roof leak repair Manhattan Beach CA
21,159.76,64,140.0,249.62,Roofing,roof leak repair,Redondo Beach,CA,Los Angeles,69291,2,3,0,0,3,roof leak repair Redondo Beach CA
22,159.38,52,140.0,306.5,Roofing,roof leak repair,Costa Mesa,CA,Orange,110330,3,1,1,0,0,roof leak repair Costa Mesa CA
23,159.3,58,140.0,274.65,Roofing,roof leak repair,La Palma,CA,Orange,15272,1,3,1,0,4,roof leak repair La Palma CA
24,158.65,60,140.0,264.41,Roofing,roof leak repair,Covina,CA,Los Angeles,49888,3,2,1,0,0,roof leak repair Covina CA
25,158.3,64,166.25,247.35,Roofing,roof leak repair,Tomball,TX,Harris,13655,2,2,0,0,0,roof leak repair Tomball TX
26,156.9,64,140.0,245.16,Roofing,roof leak repair,La Verne,CA,Los Angeles,30600,1,3,1,0,5,roof leak repair La Verne CA
27,142.32,52,166.25,273.69,Roofing,roof leak repair,Conroe,TX,Montgomery,102360,8,2,1,0,0,roof leak repair Conroe TX
28,140.29,46,140.0,304.98,Roofing,roof leak repair,San Juan Capistrano,CA,Orange,35095,2,4,0,0,4,roof leak repair San Juan Capistrano CA
29,138.31,52,140.0,265.99,Roofing,roof leak repair,Bellflower,CA,Los Angeles,76819,2,3,1,0,3,roof leak repair Bellflower CA
30,136.13,52,140.0,261.79,Roofing,roof leak repair,Montclair,CA,San Bernardino,37810,1,2,1,0,0,roof leak repair Montclair CA
31,134.84,52,140.0,259.31,Roofing,roof leak repair,Mira Loma,CA,Riverside,107011,1,3,1,0,3,roof leak repair Mira Loma CA
32,130.73,46,140.0,284.19,Roofing,roof leak repair,Norwalk,CA,Los Angeles,99789,3,3,0,0,3,roof leak repair Norwalk CA
33,129.8,52,140.0,249.62,Roofing,roof leak repair,El Segundo,CA,Los Angeles,16769,1,1,4,0,3,roof leak repair El Segundo CA
34,129.67,52,140.0,249.37,Roofing,roof leak repair,Moorpark,CA,Ventura,35854,2,3,0,0,2,roof leak repair Moorpark CA
35,128.9,52,140.0,247.88,Roofing,roof leak repair,Surfside,CA,Orange,24722,1,1,3,0,1,roof leak repair Surfside CA
36,128.16,52,166.25,246.47,Roofing,roof leak repair,Rosenberg,TX,Fort Bend,40646,1,3,1,0,4,roof leak repair Rosenberg TX
37,123.09,46,140.0,267.58,Roofing,roof leak repair,Foothill Ranch,CA,Orange,86281,1,3,1,0,2,roof leak repair Foothill Ranch CA
38,119.73,46,122.5,260.28,Roofing,roof leak repair,Cupertino,CA,Santa Clara,58566,2,3,1,0,3,roof leak repair Cupertino CA
39,114.72,40,140.0,286.81,Roofing,roof leak repair,Whittier,CA,Los Angeles,86165,10,4,0,0,3,roof leak repair Whittier CA
40,112.82,46,140.0,245.25,Roofing,roof leak repair,Rialto,CA,San Bernardino,104143,2,2,2,0,3,roof leak repair Rialto CA
41,112.77,46,140.0,245.16,Roofing,roof leak repair,Rowland Heights,CA,Los Angeles,45911,1,2,2,0,3,roof leak repair Rowland Heights CA
42,112.77,46,140.0,245.16,Roofing,roof leak repair,West Covina,CA,Los Angeles,107037,4,2,1,0,2,roof leak repair West Covina CA
43,112.34,40,140.0,280.86,Roofing,roof leak repair,Los Alamitos,CA,Orange,11794,2,3,2,0,3,roof leak repair Los Alamitos CA
44,105.03,40,166.25,262.57,Roofing,roof leak repair,Sugar Land,TX,Fort Bend,110016,5,4,0,0,3,roof leak repair Sugar Land TX
45,104.08,40,122.5,260.19,Roofing,roof leak repair,San Carlos,CA,San Mateo,29614,1,4,0,0,3,roof leak repair San Carlos CA
46,100.29,40,166.25,250.73,Roofing,roof leak repair,Baytown,TX,Harris,85205,4,3,1,0,1,roof leak repair Baytown TX
47,100.02,40,140.0,250.06,Roofing,roof leak repair,Camarillo,CA,Ventura,76945,3,4,0,0,2,roof leak repair Camarillo CA
48,99.58,38,166.25,262.05,Roofing,roof leak repair,Richmond,TX,Fort Bend,12582,3,4,0,0,0,roof leak repair Richmond TX
49,98.5,34,140.0,289.7,Roofing,roof leak repair,La Habra,CA,Orange,61970,3,4,0,0,3,roof leak repair La Habra CA
50,98.06,40,140.0,245.16,Roofing,roof leak repair,Hacienda Heights,CA,Los Angeles,54291,2,2,1,0,2,roof leak repair Hacienda Heights CA
51,96.62,34,140.0,284.19,Roofing,roof leak repair,Cerritos,CA,Los Angeles,47867,1,5,0,0,4,roof leak repair Cerritos CA
52,93.38,34,140.0,274.65,Roofing,roof leak repair,Laguna Hills,CA,Orange,30740,2,3,1,0,2,roof leak repair Laguna Hills CA
53,93.38,34,140.0,274.65,Roofing,roof leak repair,Rancho Santa Margarita,CA,Orange,46990,1,4,0,0,1,roof leak repair Rancho Santa Margarita CA
54,92.62,34,140.0,272.41,Roofing,roof leak repair,Dana Point,CA,Orange,32790,1,4,0,0,3,roof leak repair Dana Point CA
55,89.5,36,140.0,248.6,Roofing,roof leak repair,Upland,CA,San Bernardino,79257,3,4,0,0,1,roof leak repair Upland CA
56,89.01,34,140.0,261.79,Roofing,roof leak repair,Norco,CA,Riverside,25054,1,4,1,0,3,roof leak repair Norco CA
57,86.66,34,140.0,254.88,Roofing,roof leak repair,San Gabriel,CA,Los Angeles,38392,3,2,3,0,1,roof leak repair San Gabriel CA
58,86.64,28,140.0,309.43,Roofing,roof leak repair,Lake Forest,CA,Orange,86281,2,4,0,0,2,roof leak repair Lake Forest CA
59,84.52,34,140.0,248.6,Roofing,roof leak repair,Carson,CA,Los Angeles,92871,6,4,0,0,1,roof leak repair Carson CA
60,84.18,30,122.5,280.59,Roofing,roof leak repair,Palo Alto,CA,Santa Clara,67237,6,5,0,0,2,roof leak repair Palo Alto CA
61,73.97,30,140.0,246.56,Roofing,roof leak repair,Burbank,CA,Los Angeles,104546,13,5,0,0,2,roof leak repair Burbank CA
62,73.3,28,140.0,261.79,Roofing,roof leak repair,Chino,CA,San Bernardino,92652,2,4,0,0,2,roof leak repair Chino CA
63,72.61,28,140.0,259.31,Roofing,roof leak repair,Claremont,CA,Los Angeles,36595,1,4,1,0,3,roof leak repair Claremont CA
64,70.36,28,140.0,251.3,Roofing,roof leak repair,Altadena,CA,Los Angeles,41705,2,4,1,0,2,roof leak repair Altadena CA
65,69.89,28,140.0,249.62,Roofing,roof leak repair,Hermosa Beach,CA,Los Angeles,19063,1,4,1,0,2,roof leak repair Hermosa Beach CA
66,69.77,28,140.0,249.19,Roofing,roof leak repair,Calabasas,CA,Los Angeles,22669,2,3,2,0,1,roof leak repair Calabasas CA
67,68.84,28,93.94,245.86,Plumbing,drain cleaning,Castle Rock,CO,Douglas,79123,3,3,1,0,0,drain cleaning Castle Rock CO
68,61.31,22,140.0,278.68,Roofing,roof leak repair,Laguna Beach,CA,Orange,22710,2,3,2,0,1,roof leak repair Laguna Beach CA
69,60.48,22,166.25,274.92,Roofing,roof leak repair,Spring,TX,Harris,68580,12,5,0,0,2,roof leak repair Spring TX
70,60.42,22,140.0,274.65,Roofing,roof leak repair,Laguna Woods,CA,Orange,17289,2,4,1,0,1,roof leak repair Laguna Woods CA
71,58.17,22,140.0,264.41,Roofing,roof leak repair,Baldwin Park,CA,Los Angeles,70138,1,3,2,0,2,roof leak repair Baldwin Park CA
72,57.59,22,140.0,261.79,Roofing,roof leak repair,Artesia,CA,Los Angeles,15889,2,3,3,0,2,roof leak repair Artesia CA
