rank,opportunity,serp_score,payout,pricing,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,emd,pseo,national,other_local,directory,pack_size,pack_median_reviews,query,occupants
1,57.12,96,59.5,geo,59.5,HVAC,ac repair,Lees Summit,MO,Jackson,103656,6,0,0,0,0,2,7,4,1951,ac repair Lees Summit MO,youtube.com (social profile) | youtube.com (social profile) | youtube.com (social profile) | acsaf.org (independent site) | en.wikipedia.org (independent site) | youtube.com (social profile) | youtube.com (social profile) | youtube.com (social profile) | youtube.com (social profile)
2,24.5,35,70.0,geo,70.0,HVAC,ac repair,Oxford,OH,Butler,21753,1,4,0,0,0,1,4,3,12,ac repair Oxford OH,bryant.com (dedicated page) | thomasgalbraith.com (dedicated page) | rouseheatingandair.com (dedicated page) | facebook.com (social profile) | angi.com (directory) | bbplumbingheating.biz (independent site) | logan-inc.com (dedicated page) | yelp.com (directory) | bbb.org (directory)
3,11.62,18,64.58,geo,64.58,HVAC,ac repair,New Castle,IN,Henry,17367,1,4,0,0,0,1,4,4,1100,ac repair New Castle IN,summersphc.com (dedicated page) | calljakes.com (dedicated page) | yelp.com (directory) | northerncomfortsystems.com (dedicated page) | bbb.org (directory) | mrssolutions.com (independent site) | facebook.com (social profile) | homedepot.com (dedicated page) | mapquest.com (directory)
4,10.14,14,72.45,geo,72.45,HVAC,ac repair,Anderson,IN,Madison,80597,6,4,0,0,0,2,3,3,741,ac repair Anderson IN,summersphc.com (dedicated page) | williamscomfortair.com (dedicated page) | nardcoheating.com (dedicated page) | reederhvac.com (independent site) | angi.com (directory) | fullermohlerhvac.com (independent site) | facebook.com (social profile) | yelp.com (directory) | callhomeheroes.com (dedicated page)
5,10.08,18,56.0,geo,56.0,HVAC,ac repair,Nicholasville,KY,Jessamine,32197,2,5,0,0,0,1,3,3,23,ac repair Nicholasville KY,donnierowe.com (dedicated page) | valuehvacservices.com (dedicated page) | yelp.com (directory) | aireserv.com (dedicated page) | facebook.com (social profile) | cbac.com (dedicated page) | stivers-hvac.com (dedicated page) | angi.com (directory) | stewartac.com (independent site)
6,9.52,16,59.5,geo,59.5,HVAC,ac repair,Grain Valley,MO,Jackson,16271,1,4,0,0,0,3,2,3,479,ac repair Grain Valley MO,apexhvackc.com (independent site) | summithckc.com (dedicated page) | yelp.com (directory) | sargentautodiesel.com (dedicated page) | edcoaire.com (independent site) | climatecontrolkc.com (dedicated page) | lunaheatingcooling.com (dedicated page) | homeadvisor.com (directory) | sbroauto.com (independent site)
7,4.2,6,70.0,geo,70.0,HVAC,ac repair,Miamisburg,OH,Montgomery,19948,2,6,0,0,0,2,2,0,0,ac repair Miamisburg OH,mcair.com (dedicated page) | thomasgalbraith.com (dedicated page) | cappshvac.com (dedicated page) | yelp.com (directory) | logan-inc.com (dedicated page) | geteco.com (independent site) | facebook.com (social profile) | legacyhvac.pro (dedicated page) | seiterservices.com (independent site) | airtron.com (dedicated page)
8,3.98,6,66.41,geo,66.41,HVAC,ac repair,Shelbyville,IN,Shelby,20296,1,6,0,0,0,2,2,0,0,ac repair Shelbyville IN,qualitycomfort247.com (dedicated page) | williamscomfortair.com (dedicated page) | yelp.com (directory) | peoplesheatingcooling.com (dedicated page) | facebook.com (social profile) | christianelectricllc.com (independent site) | midas.com (dedicated page) | yougetmoore.com (dedicated page) | kightsqualityair.com (dedicated page) | hicksairhvac.com (independent site)
9,2.34,4,58.59,geo,58.59,HVAC,ac repair,Winchester,KY,Clark,19213,1,6,0,0,0,0,3,3,54,ac repair Winchester KY,bryant.com (dedicated page) | facebook.com (social profile) | stivers-hvac.com (dedicated page) | yelp.com (directory) | wisetechheatingcooling.com (dedicated page) | justcallnextlevel.com (dedicated page) | thornberrybros.com (dedicated page) | angi.com (directory) | pureheatingandair.com (dedicated page)
10,0.0,0,94.5,geo,94.5,HVAC,ac repair,Fishers,IN,Hamilton,102337,3,7,1,0,0,0,2,3,559,ac repair Fishers IN,airtron.com (dedicated page) | yelp.com (directory) | actionairfishers.com (city EMD + dedicated page) | yorksqualityair.com (dedicated page) | varsityzone.com (dedicated page) | summersphc.com (dedicated page) | facebook.com (social profile) | callhomeheroes.com (dedicated page) | calljakes.com (dedicated page)
