rank,verdict,why,value,volume,opportunity,serp_score,payout,pricing,bundle_value,niche,sub_service,city,state,county,population,zips,dedicated,emd,pseo,national,other_local,directory,pack_size,pack_median_reviews,query,occupants
1,WATCH,1 dedicated page already,9786.7,110,88.97,82,108.5,geo,108.5,Plumbing,leak detection,Lititz,PA,Lancaster,9619,1,1,0,0,0,3,5,4,7,leak detection Lititz PA,yelp.com (directory) | americanleakdetection.com (independent site) | americanleakdetection.com (independent site) | facebook.com (social profile) | mapquest.com (directory) | local.yahoo.com (dedicated page) | pro.porch.com (directory) | hallerent.com (independent site) | bbb.org (directory)
2,STOP,4 dedicated plumbing pages,9027.2,320,28.21,26,108.5,geo,108.5,Plumbing,plumber,Camp Hill,PA,Cumberland,8169,1,4,0,0,0,2,3,3,130,plumber Camp Hill PA,cropfbrothers.com (dedicated page) | rotorooter.com (dedicated page) | ezimmerman.com (dedicated page) | bbb.org (directory) | facebook.com (social profile) | yelp.com (directory) | leggettinc.com (independent site) | neffsvilleph.com (dedicated page) | prontoplumbing.com (independent site)
3,STOP,4 dedicated plumbing pages,9027.2,320,28.21,26,108.5,geo,108.5,Plumbing,leak detection,Camp Hill,PA,Cumberland,8169,1,4,0,0,0,2,3,3,130,leak detection Camp Hill PA,prontoplumbing.com (dedicated page) | rotorooter.com (dedicated page) | m.yelp.com (directory) | facebook.com (social profile) | neffsvilleph.com (dedicated page) | americanleakdetection.com (independent site) | plumbingharrisburgpa.com (dedicated page) | prontoplumbing.com (independent site) | yelp.com (directory)
4,STOP,3 dedicated plumbing pages,7746.9,210,36.89,34,108.5,geo,108.5,Plumbing,plumber,Hanover,PA,York,16584,1,3,0,0,0,3,3,3,252,plumber Hanover PA,facebook.com (social profile) | czappmechanical.com (dedicated page) | yelp.com (directory) | georgehbixlerinc.com (independent site) | dewildasinandson.com (dedicated page) | allisonsplumbingheatingandac.com (independent site) | homeadvisor.com (directory) | davidsonplumbing.biz (independent site) | wengerservices.com (dedicated page)
5,STOP,5 dedicated plumbing pages,5077.8,260,19.53,18,108.5,geo,108.5,Plumbing,plumber,Lebanon,PA,Lebanon,74675,2,5,0,0,0,1,3,3,82,plumber Lebanon PA,facebook.com (social profile) | rotorooter.com (dedicated page) | yelp.com (directory) | gfbowman.com (dedicated page) | neffsvilleph.com (dedicated page) | angi.com (directory) | ehwms.com (dedicated page) | beckcreekplumbing.com (independent site) | hallerent.com (dedicated page)
6,STOP,4 dedicated plumbing pages; map pack at 822 reviews,4860.8,320,15.19,14,108.5,geo,108.5,Plumbing,plumber,Mechanicsburg,PA,Cumberland,9720,2,4,0,0,0,2,3,3,822,plumber Mechanicsburg PA,rotorooter.com (dedicated page) | yelp.com (directory) | centralpennplumbing.com (independent site) | angi.com (directory) | hlstonebergerplumbing.com (independent site) | hbmcclure.com (dedicated page) | ezimmerman.com (dedicated page) | bbb.org (directory) | 717homeservices.com (dedicated page)
7,STOP,4 dedicated plumbing pages,2864.4,110,26.04,24,108.5,geo,108.5,Plumbing,plumber,Lititz,PA,Lancaster,9619,1,4,0,0,0,1,4,3,230,plumber Lititz PA,facebook.com (social profile) | cocalicoph.com (dedicated page) | rotorooter.com (dedicated page) | angi.com (directory) | yelp.com (directory) | jmlapp.com (dedicated page) | foxplumbing.us (independent site) | bbb.org (directory) | jandj.net (dedicated page)
8,STOP,1 city EMD on page one; 1 programmatic subdomain(s); 2 dedicated plumbing pages; map pack at 533 reviews,1388.8,320,4.34,4,108.5,geo,108.5,Plumbing,leak detection,Mechanicsburg,PA,Cumberland,9720,2,2,1,1,1,3,3,4,533,leak detection Mechanicsburg PA,centralpennplumbing.com (independent site) | mrrooter.com (national brand) | m.yelp.com (directory) | youtube.com (social profile) | dehomemechanical.com (dedicated page) | emergency-plumber-mechanicsburg-pa.plumberhaverhill.com (pSEO subdomain + city EMD + dedicated page) | m.yelp.com (directory) | americanleakdetection.com (independent site) | gfbowman.com (independent site)
9,STOP,1 city EMD on page one; 6 dedicated plumbing pages,0.0,110,0.0,0,108.5,geo,108.5,Plumbing,plumber,Elizabethtown,PA,Lancaster,11925,1,6,1,0,0,1,2,3,44,plumber Elizabethtown PA,morrisonplumbingservice.com (dedicated page) | yelp.com (directory) | neffsvilleph.com (dedicated page) | benjaminfranklinplumbing.com (dedicated page) | joedibartplumbing.com (independent site) | leokobco.com (dedicated page) | angi.com (directory) | superioremergencyplumberelizabethtownpa.com (city EMD + dedicated page) | trustjoetheplumber.com (dedicated page)
10,STOP,1 city EMD on page one; 6 dedicated plumbing pages,0.0,110,0.0,0,108.5,geo,108.5,Plumbing,plumber,Ephrata,PA,Lancaster,13772,1,6,1,0,0,0,2,4,104,plumber Ephrata PA,ephrataelectricalandplumbing.com (city EMD) | yelp.com (directory) | neffsvilleph.com (dedicated page) | cocalicoph.com (dedicated page) | rotorooter.com (dedicated page) | facebook.com (social profile) | vertex-mechanical.com (dedicated page) | todayshomeowner.com (dedicated page) | jmlapp.com (dedicated page)
11,STOP,2 city EMD on page one; 5 dedicated plumbing pages,0.0,260,0.0,0,108.5,geo,108.5,Plumbing,leak detection,Lebanon,PA,Lebanon,74675,2,5,2,0,0,2,2,3,239,leak detection Lebanon PA,gfbowman.com (dedicated page) | yelp.com (directory) | lebanonpaplumbingguys.com (city EMD + dedicated page) | valleysewerco.com (dedicated page) | demo.rematejoaquinsuarez.com.uy (dedicated page) | neffsvilleph.com (independent site) | lebanonplumbingco.com (city EMD + dedicated page) | countrysidefuel.com (independent site) | facebook.com (social profile)
